Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ExternalServiceListType.CreatedBy,CreatedById,ExternalServiceListType,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ExternalServiceListType.CreatedDate,CreatedDate,ExternalServiceListType,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ExternalServiceListType.Description,Description,ExternalServiceListType,,Description,説明,説明,テキスト(1333),false,true,false,true,false,true
000000000000000AAA,ExternalServiceListType.ElementDataType,ElementDataTypeId,ExternalServiceListType,,ElementDataType,要素のデータ型,要素のデータ型,"参照関係(External Service Data Types,External Service List Types,External Service Map Types,External Service Object Types,External Service Simple Types,External Service Registration Enum Types)",false,true,false,true,true,true
000000000000000AAA,ExternalServiceListType.Id,Id,ExternalServiceListType,,Id,External Service List Types ID,External Service List Types ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ExternalServiceListType.IsDeleted,IsDeleted,ExternalServiceListType,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ExternalServiceListType.IsOrdered,IsOrdered,ExternalServiceListType,,IsOrdered,注文済み,注文済み,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ExternalServiceListType.IsUnique,IsUnique,ExternalServiceListType,,IsUnique,ユニーク,ユニーク,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ExternalServiceListType.LastModifiedBy,LastModifiedById,ExternalServiceListType,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ExternalServiceListType.LastModifiedDate,LastModifiedDate,ExternalServiceListType,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ExternalServiceListType.ListTypeName,ListTypeName,ExternalServiceListType,,ListTypeName,リストのデータ型名,リストのデータ型名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ExternalServiceListType.MaxOccurs,MaxOccurs,ExternalServiceListType,,MaxOccurs,最大数,最大数,数値(9、0),false,true,false,true,true,true
000000000000000AAA,ExternalServiceListType.MinOccurs,MinOccurs,ExternalServiceListType,,MinOccurs,最小数,最小数,数値(9、0),false,true,false,true,true,true
000000000000000AAA,ExternalServiceListType.Parent,ParentId,ExternalServiceListType,,Parent,親コンテキスト,親コンテキスト,"参照関係(外部サービス登録,External Service Parameters,External Service Properties,External Service List Types,External Service Map Types)",false,true,false,true,true,true
000000000000000AAA,ExternalServiceListType.Service,ServiceId,ExternalServiceListType,,Service,外部サービス登録参照,外部サービス登録参照,主従関係(外部サービス登録),false,false,true,true,true,true
000000000000000AAA,ExternalServiceListType.SystemModstamp,SystemModstamp,ExternalServiceListType,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,ExternalServiceListType.Version,VersionId,ExternalServiceListType,,Version,バージョン,バージョン,参照関係(カタログ式 API アイテムバージョン情報),false,true,false,true,true,true
