Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ExternalSourceStatusEvent.Category,Category,ExternalSourceStatusEvent,,Category,エラーのカテゴリ,エラーのカテゴリ,テキスト(4000),false,true,false,false,false,false
000000000000000AAA,ExternalSourceStatusEvent.CdpEventCreationDate,CdpEventCreationDate,ExternalSourceStatusEvent,,CdpEventCreationDate,イベント作成時刻,イベント作成時刻,日付/時間,false,true,false,false,false,false
000000000000000AAA,ExternalSourceStatusEvent.CdpEventPublishDate,CdpEventPublishDate,ExternalSourceStatusEvent,,CdpEventPublishDate,イベント公開時刻,イベント公開時刻,日付/時間,false,true,false,false,false,false
000000000000000AAA,ExternalSourceStatusEvent.CdpEventType,CdpEventType,ExternalSourceStatusEvent,,CdpEventType,Data Cloud イベントの種別,Data Cloud イベントの種別,テキスト(4000),false,true,false,false,false,false
000000000000000AAA,ExternalSourceStatusEvent.CdpSchemaVersion,CdpSchemaVersion,ExternalSourceStatusEvent,,CdpSchemaVersion,スキーマバージョン,スキーマバージョン,テキスト(4000),false,true,false,false,false,false
000000000000000AAA,ExternalSourceStatusEvent.CreatedBy,CreatedById,ExternalSourceStatusEvent,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,false,false,false
000000000000000AAA,ExternalSourceStatusEvent.CreatedDate,CreatedDate,ExternalSourceStatusEvent,,CreatedDate,作成日,作成日,日付/時間,false,false,false,false,false,false
000000000000000AAA,ExternalSourceStatusEvent.DataLakeObjectName,DataLakeObjectName,ExternalSourceStatusEvent,,DataLakeObjectName,データレイクオブジェクト定義の API 参照名,データレイクオブジェクト定義の API 参照名,テキスト(4000),false,true,false,false,false,false
000000000000000AAA,ExternalSourceStatusEvent.ErrorCodes,ErrorCodes,ExternalSourceStatusEvent,,ErrorCodes,さまざまなエラーを記述する JSON ペイロード,さまざまなエラーを記述する JSON ペイロード,ロングテキストエリア(128000),false,true,false,false,false,false
000000000000000AAA,ExternalSourceStatusEvent.ErrorMessage,ErrorMessage,ExternalSourceStatusEvent,,ErrorMessage,詳細なエラーメッセージ,詳細なエラーメッセージ,テキスト(4000),false,true,false,false,false,false
000000000000000AAA,ExternalSourceStatusEvent.EventUuid,EventUuid,ExternalSourceStatusEvent,,EventUuid,イベント UUID,イベント UUID,テキスト(36),false,true,false,false,false,false
000000000000000AAA,ExternalSourceStatusEvent.ExternalConnectionName,ExternalConnectionName,ExternalSourceStatusEvent,,ExternalConnectionName,データ接続の API 参照名,データ接続の API 参照名,テキスト(4000),false,true,false,false,false,false
000000000000000AAA,ExternalSourceStatusEvent.ReplayId,ReplayId,ExternalSourceStatusEvent,,ReplayId,再実行 ID,再実行 ID,外部参照,false,true,false,false,false,false
000000000000000AAA,ExternalSourceStatusEvent.Status,Status,ExternalSourceStatusEvent,,Status,データレイクオブジェクトの状況,データレイクオブジェクトの状況,テキスト(4000),false,true,false,false,false,false
