Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ExtlClntAppSamlPlcyCnfg.AcsUrl,AcsUrl,ExtlClntAppSamlPlcyCnfg,,AcsUrl,ACS URL,ACS URL,URL(255),false,true,false,true,true,true
000000000000000AAA,ExtlClntAppSamlPlcyCnfg.Certificate,Certificate,ExtlClntAppSamlPlcyCnfg,,Certificate,証明書,証明書,テキストエリア(4000),false,true,false,true,false,true
000000000000000AAA,ExtlClntAppSamlPlcyCnfg.CreatedBy,CreatedById,ExtlClntAppSamlPlcyCnfg,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ExtlClntAppSamlPlcyCnfg.CreatedDate,CreatedDate,ExtlClntAppSamlPlcyCnfg,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ExtlClntAppSamlPlcyCnfg.DeveloperName,DeveloperName,ExtlClntAppSamlPlcyCnfg,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,ExtlClntAppSamlPlcyCnfg.EncryptionCertificate,EncryptionCertificate,ExtlClntAppSamlPlcyCnfg,,EncryptionCertificate,暗号化証明書,暗号化証明書,テキストエリア(4000),false,true,false,true,false,true
000000000000000AAA,ExtlClntAppSamlPlcyCnfg.EncryptionType,EncryptionType,ExtlClntAppSamlPlcyCnfg,,EncryptionType,暗号化種別,暗号化種別,選択リスト,false,true,false,true,true,true
000000000000000AAA,ExtlClntAppSamlPlcyCnfg.EntityUrl,EntityUrl,ExtlClntAppSamlPlcyCnfg,,EntityUrl,エンティティ ID,エンティティ ID,URL(255),false,true,false,true,true,true
000000000000000AAA,ExtlClntAppSamlPlcyCnfg.ExternalClientApplication,ExternalClientApplicationId,ExtlClntAppSamlPlcyCnfg,,ExternalClientApplication,External Client Applications,External Client Applications,参照関係(External Client Applications)  (ユニーク),false,false,true,true,true,true
000000000000000AAA,ExtlClntAppSamlPlcyCnfg.Id,Id,ExtlClntAppSamlPlcyCnfg,,Id,外部クライアントアプリケーション SAML ポリシー設定 ID,外部クライアントアプリケーション SAML ポリシー設定 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ExtlClntAppSamlPlcyCnfg.IdpCertificate,IdpCertificateId,ExtlClntAppSamlPlcyCnfg,,IdpCertificate,証明書と鍵,証明書と鍵,参照関係(証明書と鍵),false,true,false,true,true,true
000000000000000AAA,ExtlClntAppSamlPlcyCnfg.IsDeleted,IsDeleted,ExtlClntAppSamlPlcyCnfg,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ExtlClntAppSamlPlcyCnfg.Issuer,Issuer,ExtlClntAppSamlPlcyCnfg,,Issuer,発行者,発行者,URL(255),false,true,false,true,true,true
000000000000000AAA,ExtlClntAppSamlPlcyCnfg.Language,Language,ExtlClntAppSamlPlcyCnfg,,Language,マスター言語,マスター言語,選択リスト,false,true,false,true,true,true
000000000000000AAA,ExtlClntAppSamlPlcyCnfg.LastModifiedBy,LastModifiedById,ExtlClntAppSamlPlcyCnfg,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ExtlClntAppSamlPlcyCnfg.LastModifiedDate,LastModifiedDate,ExtlClntAppSamlPlcyCnfg,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ExtlClntAppSamlPlcyCnfg.MasterLabel,MasterLabel,ExtlClntAppSamlPlcyCnfg,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,ExtlClntAppSamlPlcyCnfg.NameIdFormat,NameIdFormat,ExtlClntAppSamlPlcyCnfg,,NameIdFormat,名前 ID 形式,名前 ID 形式,選択リスト,false,true,false,true,true,true
000000000000000AAA,ExtlClntAppSamlPlcyCnfg.SigningAlgorithmType,SigningAlgorithmType,ExtlClntAppSamlPlcyCnfg,,SigningAlgorithmType,SAML メッセージの署名アルゴリズム,SAML メッセージの署名アルゴリズム,選択リスト,false,true,false,true,true,true
000000000000000AAA,ExtlClntAppSamlPlcyCnfg.SingleLogoutBindingType,SingleLogoutBindingType,ExtlClntAppSamlPlcyCnfg,,SingleLogoutBindingType,シングルログアウトバインド,シングルログアウトバインド,選択リスト,false,true,false,true,true,true
000000000000000AAA,ExtlClntAppSamlPlcyCnfg.SingleLogoutUrl,SingleLogoutUrl,ExtlClntAppSamlPlcyCnfg,,SingleLogoutUrl,シングルログアウト URL,シングルログアウト URL,URL(255),false,true,false,true,true,true
000000000000000AAA,ExtlClntAppSamlPlcyCnfg.StartUrl,StartUrl,ExtlClntAppSamlPlcyCnfg,,StartUrl,開始 URL,開始 URL,URL(255),false,true,false,true,true,true
000000000000000AAA,ExtlClntAppSamlPlcyCnfg.SubjectCustomAttribute,SubjectCustomAttribute,ExtlClntAppSamlPlcyCnfg,,SubjectCustomAttribute,件名カスタム属性,件名カスタム属性,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ExtlClntAppSamlPlcyCnfg.SubjectType,SubjectType,ExtlClntAppSamlPlcyCnfg,,SubjectType,件名種別,件名種別,選択リスト,false,true,false,true,true,true
000000000000000AAA,ExtlClntAppSamlPlcyCnfg.SystemModstamp,SystemModstamp,ExtlClntAppSamlPlcyCnfg,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
