Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,FeedItem.BestComment,BestCommentId,FeedItem,,BestComment,最良のコメント,最良のコメント,参照関係(フィードコメント),false,true,false,true,true,true
000000000000000AAA,FeedItem.Body,Body,FeedItem,,Body,内容,内容,ロングテキストエリア(10000),false,true,false,false,false,true
000000000000000AAA,FeedItem.CommentCount,CommentCount,FeedItem,,CommentCount,コメント数,コメント数,数値(9、0),false,false,false,true,true,true
000000000000000AAA,FeedItem.CreatedBy,CreatedById,FeedItem,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,FeedItem.CreatedDate,CreatedDate,FeedItem,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,FeedItem.HasContent,HasContent,FeedItem,,HasContent,コンテンツあり,コンテンツあり,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FeedItem.HasFeedEntity,HasFeedEntity,FeedItem,,HasFeedEntity,フィードエンティティ添付ファイルあり,フィードエンティティ添付ファイルあり,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FeedItem.HasLink,HasLink,FeedItem,,HasLink,リンクあり,リンクあり,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FeedItem.HasVerifiedComment,HasVerifiedComment,FeedItem,,HasVerifiedComment,検証済みコメントがあります,検証済みコメントがあります,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FeedItem.Id,Id,FeedItem,,Id,フィード項目 ID,フィード項目 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,FeedItem.InsertedBy,InsertedById,FeedItem,,InsertedBy,挿入者,挿入者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,FeedItem.IsClosed,IsClosed,FeedItem,,IsClosed,完了,完了,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FeedItem.IsDeleted,IsDeleted,FeedItem,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
