Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,FieldMappingRow.CreatedBy,CreatedById,FieldMappingRow,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,FieldMappingRow.CreatedDate,CreatedDate,FieldMappingRow,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,FieldMappingRow.FieldMapping,FieldMappingId,FieldMappingRow,,FieldMapping,項目の対応付け,項目の対応付け,主従関係(項目の対応付け),false,false,true,true,true,true
000000000000000AAA,FieldMappingRow.FieldName,FieldName,FieldMappingRow,,FieldName,項目名,項目名,"選択リスト(Custom Field Definitions,カスタム項目データ列)",false,true,false,true,true,true
000000000000000AAA,FieldMappingRow.Id,Id,FieldMappingRow,,Id,項目の対応付け行 ID,項目の対応付け行 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,FieldMappingRow.IsDeleted,IsDeleted,FieldMappingRow,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FieldMappingRow.LastModifiedBy,LastModifiedById,FieldMappingRow,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,FieldMappingRow.LastModifiedDate,LastModifiedDate,FieldMappingRow,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,FieldMappingRow.Operation,Operation,FieldMappingRow,,Operation,演算子,演算子,選択リスト,false,true,false,true,true,true
000000000000000AAA,FieldMappingRow.SobjectType,SobjectType,FieldMappingRow,,SobjectType,対象オブジェクト,対象オブジェクト,選択リスト(Custom Object Definitions),false,true,false,true,true,true
000000000000000AAA,FieldMappingRow.SystemModstamp,SystemModstamp,FieldMappingRow,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
