Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,FileEvent.CanDownloadPdf,CanDownloadPdf,FileEvent,,CanDownloadPdf,PDF をダウンロード可能,PDF をダウンロード可能,チェックボックス,false,false,false,false,false,false
000000000000000AAA,FileEvent.ContentSize,ContentSize,FileEvent,,ContentSize,コンテンツサイズ,コンテンツサイズ,数値(9、0),false,true,false,false,false,false
000000000000000AAA,FileEvent.CreatedBy,CreatedById,FileEvent,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,false,false,false
000000000000000AAA,FileEvent.CreatedDate,CreatedDate,FileEvent,,CreatedDate,作成日,作成日,日付/時間,false,false,false,false,false,false
000000000000000AAA,FileEvent.DocumentId,DocumentId,FileEvent,,DocumentId,ドキュメント ID,ドキュメント ID,テキスト(18),false,true,false,false,false,false
000000000000000AAA,FileEvent.EvaluationTime,EvaluationTime,FileEvent,,EvaluationTime,評価時間,評価時間,数値(18、0),false,true,false,false,false,false
000000000000000AAA,FileEvent.EventDate,EventDate,FileEvent,,EventDate,イベント日,イベント日,日付/時間,false,true,false,false,false,false
000000000000000AAA,FileEvent.EventIdentifier,EventIdentifier,FileEvent,,EventIdentifier,イベント識別子,イベント識別子,テキスト(80),false,true,false,false,false,false
000000000000000AAA,FileEvent.EventUuid,EventUuid,FileEvent,,EventUuid,イベント UUID,イベント UUID,テキスト(36),false,true,false,false,false,false
000000000000000AAA,FileEvent.FileAction,FileAction,FileEvent,,FileAction,ファイルアクション,ファイルアクション,テキスト(20),false,true,false,false,false,false
000000000000000AAA,FileEvent.FileName,FileName,FileEvent,,FileName,ファイル名,ファイル名,テキスト(10000),false,true,false,false,false,false
000000000000000AAA,FileEvent.FileSource,FileSource,FileEvent,,FileSource,ファイルソース,ファイルソース,テキスト(10000),false,true,false,false,false,false
000000000000000AAA,FileEvent.FileType,FileType,FileEvent,,FileType,ファイルの種類,ファイルの種類,テキスト(10000),false,true,false,false,false,false
000000000000000AAA,FileEvent.IsLatestVersion,IsLatestVersion,FileEvent,,IsLatestVersion,最新バージョン,最新バージョン,チェックボックス,false,false,false,false,false,false
000000000000000AAA,FileEvent.LoginKey,LoginKey,FileEvent,,LoginKey,ログインキー,ログインキー,テキスト(24),false,true,false,false,false,false
000000000000000AAA,FileEvent.Policy,PolicyId,FileEvent,,Policy,ポリシー,ポリシー,参照関係(Transaction Security Policy),false,true,false,false,false,false
000000000000000AAA,FileEvent.PolicyOutcome,PolicyOutcome,FileEvent,,PolicyOutcome,ポリシーの結果,ポリシーの結果,選択リスト,false,true,false,false,false,false
000000000000000AAA,FileEvent.ProcessDuration,ProcessDuration,FileEvent,,ProcessDuration,処理時間,処理時間,数値(18、0),false,true,false,false,false,false
000000000000000AAA,FileEvent.RelatedEventIdentifier,RelatedEventIdentifier,FileEvent,,RelatedEventIdentifier,関連イベント識別子,関連イベント識別子,テキスト(80),false,true,false,false,false,false
000000000000000AAA,FileEvent.ReplayId,ReplayId,FileEvent,,ReplayId,再実行 ID,再実行 ID,外部参照,false,true,false,false,false,false
000000000000000AAA,FileEvent.SessionKey,SessionKey,FileEvent,,SessionKey,セッションキー,セッションキー,テキスト(24),false,true,false,false,false,false
000000000000000AAA,FileEvent.SessionLevel,SessionLevel,FileEvent,,SessionLevel,セッションレベル,セッションレベル,選択リスト,false,true,false,false,false,false
000000000000000AAA,FileEvent.SourceIp,SourceIp,FileEvent,,SourceIp,アクセス元 IP,アクセス元 IP,テキスト(255),false,true,false,false,false,false
000000000000000AAA,FileEvent.User,UserId,FileEvent,,User,ユーザー,ユーザー,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,FileEvent.Username,Username,FileEvent,,Username,ユーザー名,ユーザー名,テキスト(255),false,true,false,false,false,false
000000000000000AAA,FileEvent.VersionId,VersionId,FileEvent,,VersionId,バージョン ID,バージョン ID,テキスト(18),false,true,false,false,false,false
000000000000000AAA,FileEvent.VersionNumber,VersionNumber,FileEvent,,VersionNumber,バージョン番号,バージョン番号,テキスト(10000),false,true,false,false,false,false
