Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,FiscalYearSettings.Description,Description,FiscalYearSettings,,Description,説明,説明,テキスト(255),false,true,false,true,true,true
000000000000000AAA,FiscalYearSettings.EndDate,EndDate,FiscalYearSettings,,EndDate,終了日,終了日,日付,false,true,false,true,true,true
000000000000000AAA,FiscalYearSettings.Id,Id,FiscalYearSettings,,Id,会計年度設定 ID,会計年度設定 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,FiscalYearSettings.IsStandardYear,IsStandardYear,FiscalYearSettings,,IsStandardYear,標準年,標準年,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FiscalYearSettings.Name,Name,FiscalYearSettings,,Name,名前,名前,テキスト(80),false,false,false,true,true,true
000000000000000AAA,FiscalYearSettings.Period,PeriodId,FiscalYearSettings,,Period,期間,期間,参照関係(期間),false,true,true,true,true,true
000000000000000AAA,FiscalYearSettings.PeriodLabelScheme,PeriodLabelScheme,FiscalYearSettings,,PeriodLabelScheme,期間名の体系,期間名の体系,選択リスト,false,true,false,true,true,true
000000000000000AAA,FiscalYearSettings.PeriodPrefix,PeriodPrefix,FiscalYearSettings,,PeriodPrefix,期間プレフィックス,期間プレフィックス,選択リスト,false,true,false,true,true,true
000000000000000AAA,FiscalYearSettings.QuarterLabelScheme,QuarterLabelScheme,FiscalYearSettings,,QuarterLabelScheme,四半期名の体系,四半期名の体系,選択リスト,false,true,false,true,true,true
000000000000000AAA,FiscalYearSettings.QuarterPrefix,QuarterPrefix,FiscalYearSettings,,QuarterPrefix,四半期プレフィックス,四半期プレフィックス,選択リスト,false,true,false,true,true,true
000000000000000AAA,FiscalYearSettings.StartDate,StartDate,FiscalYearSettings,,StartDate,開始日,開始日,日付,false,true,false,true,true,true
000000000000000AAA,FiscalYearSettings.SystemModstamp,SystemModstamp,FiscalYearSettings,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,FiscalYearSettings.WeekLabelScheme,WeekLabelScheme,FiscalYearSettings,,WeekLabelScheme,週名の体系,週名の体系,選択リスト,false,true,false,true,true,true
000000000000000AAA,FiscalYearSettings.WeekStartDay,WeekStartDay,FiscalYearSettings,,WeekStartDay,週開始日,週開始日,数値(9、0),false,true,false,true,true,true
000000000000000AAA,FiscalYearSettings.YearType,YearType,FiscalYearSettings,,YearType,年種別,年種別,選択リスト,false,true,false,true,true,true
