Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,FlowRecordChangeEvent.Activation,ActivationId,FlowRecordChangeEvent,,Activation,有効化,有効化,参照関係(有効化),false,true,false,false,false,false
000000000000000AAA,FlowRecordChangeEvent.ActiveVersion,ActiveVersionId,FlowRecordChangeEvent,,ActiveVersion,有効バージョン,有効バージョン,参照関係(フローバージョン),false,true,false,false,false,false
000000000000000AAA,FlowRecordChangeEvent.ApiName,ApiName,FlowRecordChangeEvent,,ApiName,API 参照名,API 参照名,テキスト(255),false,true,false,false,false,false
000000000000000AAA,FlowRecordChangeEvent.ApiVersion,ApiVersion,FlowRecordChangeEvent,,ApiVersion,API バージョン,API バージョン,数値(9、0),false,true,false,false,false,false
000000000000000AAA,FlowRecordChangeEvent.AreMetricsLoggedToDataCloud,AreMetricsLoggedToDataCloud,FlowRecordChangeEvent,,AreMetricsLoggedToDataCloud,メトリクスを Data Cloud に記録,メトリクスを Data Cloud に記録,チェックボックス,false,false,false,false,false,false
000000000000000AAA,FlowRecordChangeEvent.AssociatedRecord,AssociatedRecordId,FlowRecordChangeEvent,,AssociatedRecord,関連するレコード,関連するレコード,"参照関係(キャンペーン,フロー)",false,true,false,false,false,false
000000000000000AAA,FlowRecordChangeEvent.Builder,Builder,FlowRecordChangeEvent,,Builder,次を使用して作成,次を使用して作成,テキスト(255),false,true,false,false,false,false
000000000000000AAA,FlowRecordChangeEvent.CapacityCategory,CapacityCategory,FlowRecordChangeEvent,,CapacityCategory,業務量カテゴリ,業務量カテゴリ,選択リスト,false,true,false,false,false,false
000000000000000AAA,FlowRecordChangeEvent.ChangeEventHeader,ChangeEventHeader,FlowRecordChangeEvent,,ChangeEventHeader,変更イベントヘッダー,変更イベントヘッダー,複合値,false,false,false,false,false,false
000000000000000AAA,FlowRecordChangeEvent.CreatedBy,CreatedById,FlowRecordChangeEvent,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,FlowRecordChangeEvent.CreatedDate,CreatedDate,FlowRecordChangeEvent,,CreatedDate,作成日,作成日,日付/時間,false,true,false,false,false,false
000000000000000AAA,FlowRecordChangeEvent.Description,Description,FlowRecordChangeEvent,,Description,説明,説明,ロングテキストエリア(65535),false,true,false,false,false,false
000000000000000AAA,FlowRecordChangeEvent.ElementEntries,ElementEntries,FlowRecordChangeEvent,,ElementEntries,要素実行数,要素実行数,数値(9、0),false,true,false,false,false,false
000000000000000AAA,FlowRecordChangeEvent.ElementErrors,ElementErrors,FlowRecordChangeEvent,,ElementErrors,要素エラー数,要素エラー数,数値(9、0),false,true,false,false,false,false
000000000000000AAA,FlowRecordChangeEvent.ErrorCode,ErrorCode,FlowRecordChangeEvent,,ErrorCode,エラーコード,エラーコード,選択リスト,false,true,false,false,false,false
000000000000000AAA,FlowRecordChangeEvent.ErrorDetails,ErrorDetails,FlowRecordChangeEvent,,ErrorDetails,エラーの詳細,エラーの詳細,テキスト(255),false,true,false,false,false,false
000000000000000AAA,FlowRecordChangeEvent.FlowCategory,FlowCategory,FlowRecordChangeEvent,,FlowCategory,カテゴリ,カテゴリ,テキスト(255),false,true,false,false,false,false
