Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,FlowVariableView.ApiName,ApiName,FlowVariableView,,ApiName,変数の API 参照名,変数の API 参照名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,FlowVariableView.DataType,DataType,FlowVariableView,,DataType,変数のデータ型,変数のデータ型,テキスト(255),false,true,false,true,true,true
000000000000000AAA,FlowVariableView.Description,Description,FlowVariableView,,Description,変数の説明,変数の説明,テキスト(255),false,true,false,true,true,true
000000000000000AAA,FlowVariableView.ExternalId,DurableId,FlowVariableView,,ExternalId,デュラブル ID,デュラブル ID,外部参照,false,true,false,true,true,true
000000000000000AAA,FlowVariableView.FlowVersionView,FlowVersionViewId,FlowVariableView,,FlowVersionView,フローのバージョン,フローのバージョン,外部参照(フローのバージョン),false,true,false,true,false,true
000000000000000AAA,FlowVariableView.Id,Id,FlowVariableView,,Id,フロー変数ビュー ID,フロー変数ビュー ID,参照関係(),false,false,false,true,true,true
000000000000000AAA,FlowVariableView.IsCollection,IsCollection,FlowVariableView,,IsCollection,変数で複数の値を許可 (コレクション),変数で複数の値を許可 (コレクション),チェックボックス,false,false,false,true,true,true
000000000000000AAA,FlowVariableView.IsInput,IsInput,FlowVariableView,,IsInput,変数は入力で使用可能,変数は入力で使用可能,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FlowVariableView.IsOutput,IsOutput,FlowVariableView,,IsOutput,変数は出力で使用可能,変数は出力で使用可能,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FlowVariableView.ObjectType,ObjectType,FlowVariableView,,ObjectType,レコード変数オブジェクト,レコード変数オブジェクト,テキスト(255),false,true,false,true,true,true
