Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,GenAiPlannerRuleExprAsgn.CreatedBy,CreatedById,GenAiPlannerRuleExprAsgn,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,GenAiPlannerRuleExprAsgn.CreatedDate,CreatedDate,GenAiPlannerRuleExprAsgn,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,GenAiPlannerRuleExprAsgn.Function,Function,GenAiPlannerRuleExprAsgn,,Function,生成 AI 関数定義,生成 AI 関数定義,選択リスト(生成 AI プラグイン関数定義),false,true,false,true,true,true
000000000000000AAA,GenAiPlannerRuleExprAsgn.GenAiPlannerRuleExpr,GenAiPlannerRuleExpr,GenAiPlannerRuleExprAsgn,,GenAiPlannerRuleExpr,生成 AI プランナールール式,生成 AI プランナールール式,選択リスト(生成 AI プランナールール式),false,false,false,true,true,true
000000000000000AAA,GenAiPlannerRuleExprAsgn.Id,Id,GenAiPlannerRuleExprAsgn,,Id,生成 AI プランナールール式の割り当て ID,生成 AI プランナールール式の割り当て ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,GenAiPlannerRuleExprAsgn.IsDeleted,IsDeleted,GenAiPlannerRuleExprAsgn,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,GenAiPlannerRuleExprAsgn.LastModifiedBy,LastModifiedById,GenAiPlannerRuleExprAsgn,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,GenAiPlannerRuleExprAsgn.LastModifiedDate,LastModifiedDate,GenAiPlannerRuleExprAsgn,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,GenAiPlannerRuleExprAsgn.Plugin,PluginId,GenAiPlannerRuleExprAsgn,,Plugin,生成 AI プラグイン定義,生成 AI プラグイン定義,参照関係(生成 AI プランナー関数定義),false,false,true,true,true,true
000000000000000AAA,GenAiPlannerRuleExprAsgn.SortOrder,SortOrder,GenAiPlannerRuleExprAsgn,,SortOrder,並び替え順,並び替え順,数値(9、0),false,false,false,true,true,true
000000000000000AAA,GenAiPlannerRuleExprAsgn.SystemModstamp,SystemModstamp,GenAiPlannerRuleExprAsgn,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,GenAiPlannerRuleExprAsgn.TargetType,TargetType,GenAiPlannerRuleExprAsgn,,TargetType,ルール式割り当て種別,ルール式割り当て種別,選択リスト,false,false,false,true,true,true
