Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,GenAiPlannerRuleExprDef.CreatedBy,CreatedById,GenAiPlannerRuleExprDef,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,GenAiPlannerRuleExprDef.CreatedDate,CreatedDate,GenAiPlannerRuleExprDef,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,GenAiPlannerRuleExprDef.DeveloperName,DeveloperName,GenAiPlannerRuleExprDef,,DeveloperName,生成 AI プランナールール式名,生成 AI プランナールール式名,テキスト(80),false,false,false,true,true,true
000000000000000AAA,GenAiPlannerRuleExprDef.Expression,Expression,GenAiPlannerRuleExprDef,,Expression,式,式,テキスト(255),false,true,false,true,true,true
000000000000000AAA,GenAiPlannerRuleExprDef.ExpressionCondition,ExpressionCondition,GenAiPlannerRuleExprDef,,ExpressionCondition,式条件,式条件,選択リスト,false,true,false,true,true,true
000000000000000AAA,GenAiPlannerRuleExprDef.ExpressionType,ExpressionType,GenAiPlannerRuleExprDef,,ExpressionType,式の種別,式の種別,選択リスト,false,false,false,true,true,true
000000000000000AAA,GenAiPlannerRuleExprDef.Id,Id,GenAiPlannerRuleExprDef,,Id,生成 AI プランナールール式 ID,生成 AI プランナールール式 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,GenAiPlannerRuleExprDef.IsDeleted,IsDeleted,GenAiPlannerRuleExprDef,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,GenAiPlannerRuleExprDef.Language,Language,GenAiPlannerRuleExprDef,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,GenAiPlannerRuleExprDef.LastModifiedBy,LastModifiedById,GenAiPlannerRuleExprDef,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,GenAiPlannerRuleExprDef.LastModifiedDate,LastModifiedDate,GenAiPlannerRuleExprDef,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,GenAiPlannerRuleExprDef.MasterLabel,MasterLabel,GenAiPlannerRuleExprDef,,MasterLabel,生成 AI プランナールール式のマスター表示ラベル,生成 AI プランナールール式のマスター表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,GenAiPlannerRuleExprDef.SobjectType,GenAiPlannerDefinitionId,GenAiPlannerRuleExprDef,,SobjectType,生成 AI プランナー定義,生成 AI プランナー定義,参照関係(生成 AI プランナー定義),false,false,true,true,true,true
000000000000000AAA,GenAiPlannerRuleExprDef.SystemModstamp,SystemModstamp,GenAiPlannerRuleExprDef,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
