Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,GenAiPlannerRuleExprObject.CreatedBy,CreatedById,GenAiPlannerRuleExprObject,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,GenAiPlannerRuleExprObject.CreatedDate,CreatedDate,GenAiPlannerRuleExprObject,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,GenAiPlannerRuleExprObject.Function,Function,GenAiPlannerRuleExprObject,,Function,生成 AI 関数定義,生成 AI 関数定義,選択リスト(生成 AI プラグイン関数定義),false,true,false,true,true,true
000000000000000AAA,GenAiPlannerRuleExprObject.GenAiPlannerRuleExpr,GenAiPlannerRuleExpr,GenAiPlannerRuleExprObject,,GenAiPlannerRuleExpr,生成 AI プランナールール式,生成 AI プランナールール式,選択リスト(生成 AI プランナールール式),false,false,true,true,true,true
000000000000000AAA,GenAiPlannerRuleExprObject.Id,Id,GenAiPlannerRuleExprObject,,Id,生成 AI プランナールール式オブジェクト ID,生成 AI プランナールール式オブジェクト ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,GenAiPlannerRuleExprObject.IsDeleted,IsDeleted,GenAiPlannerRuleExprObject,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,GenAiPlannerRuleExprObject.LastModifiedBy,LastModifiedById,GenAiPlannerRuleExprObject,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,GenAiPlannerRuleExprObject.LastModifiedDate,LastModifiedDate,GenAiPlannerRuleExprObject,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,GenAiPlannerRuleExprObject.Plugin,PluginId,GenAiPlannerRuleExprObject,,Plugin,生成 AI プラグイン定義,生成 AI プラグイン定義,参照関係(生成 AI プランナー関数定義),false,true,true,true,true,true
000000000000000AAA,GenAiPlannerRuleExprObject.SortOrder,SortOrder,GenAiPlannerRuleExprObject,,SortOrder,並び替え順,並び替え順,数値(9、0),false,false,false,true,true,true
000000000000000AAA,GenAiPlannerRuleExprObject.SystemModstamp,SystemModstamp,GenAiPlannerRuleExprObject,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
