Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,GisPrvdCnctrJobObject.CreatedBy,CreatedById,GisPrvdCnctrJobObject,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,GisPrvdCnctrJobObject.CreatedDate,CreatedDate,GisPrvdCnctrJobObject,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,GisPrvdCnctrJobObject.DeveloperName,DeveloperName,GisPrvdCnctrJobObject,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,GisPrvdCnctrJobObject.FilterLogic,FilterLogic,GisPrvdCnctrJobObject,,FilterLogic,検索条件ロジック,検索条件ロジック,テキスト(255),false,true,false,true,true,true
000000000000000AAA,GisPrvdCnctrJobObject.GisProviderDataConnectorJob,GisProviderDataConnectorJobId,GisPrvdCnctrJobObject,,GisProviderDataConnectorJob,プロバイダーコネクタジョブ定義,プロバイダーコネクタジョブ定義,参照関係(GIS プロバイダーコネクタジョブ定義),false,false,true,true,true,true
000000000000000AAA,GisPrvdCnctrJobObject.GisProviderGeometryFieldName,GisProviderGeometryFieldName,GisPrvdCnctrJobObject,,GisProviderGeometryFieldName,GIS プロバイダージオメトリ項目名,GIS プロバイダージオメトリ項目名,テキスト(255),false,false,false,true,true,true
000000000000000AAA,GisPrvdCnctrJobObject.GisProviderLayer,GisProviderLayer,GisPrvdCnctrJobObject,,GisProviderLayer,レイヤー,レイヤー,テキスト(255),false,false,false,true,true,true
000000000000000AAA,GisPrvdCnctrJobObject.GisProviderLayerType,GisProviderLayerType,GisPrvdCnctrJobObject,,GisProviderLayerType,GIS プロバイダーレイヤー種別,GIS プロバイダーレイヤー種別,選択リスト,false,false,false,true,true,true
000000000000000AAA,GisPrvdCnctrJobObject.GisProviderLayerUrl,GisProviderLayerUrl,GisPrvdCnctrJobObject,,GisProviderLayerUrl,GIS プロバイダーレイヤー URL,GIS プロバイダーレイヤー URL,テキスト(255),false,false,false,true,true,true
000000000000000AAA,GisPrvdCnctrJobObject.Id,Id,GisPrvdCnctrJobObject,,Id,GIS プロバイダーコネクタジョブオブジェクト ID,GIS プロバイダーコネクタジョブオブジェクト ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,GisPrvdCnctrJobObject.IsDeleted,IsDeleted,GisPrvdCnctrJobObject,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,GisPrvdCnctrJobObject.Language,Language,GisPrvdCnctrJobObject,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,GisPrvdCnctrJobObject.LastModifiedBy,LastModifiedById,GisPrvdCnctrJobObject,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,GisPrvdCnctrJobObject.LastModifiedDate,LastModifiedDate,GisPrvdCnctrJobObject,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,GisPrvdCnctrJobObject.MasterLabel,MasterLabel,GisPrvdCnctrJobObject,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,GisPrvdCnctrJobObject.ObjectName,ObjectName,GisPrvdCnctrJobObject,,ObjectName,オブジェクト名,オブジェクト名,テキスト(255),false,false,false,true,true,true
000000000000000AAA,GisPrvdCnctrJobObject.SystemModstamp,SystemModstamp,GisPrvdCnctrJobObject,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
