Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,GuestUserAnomalyEventStore.CreatedDate,CreatedDate,GuestUserAnomalyEventStore,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,GuestUserAnomalyEventStore.EvaluationTime,EvaluationTime,GuestUserAnomalyEventStore,,EvaluationTime,評価時間,評価時間,数値(18、0),false,true,false,true,false,true
000000000000000AAA,GuestUserAnomalyEventStore.EventDate,EventDate,GuestUserAnomalyEventStore,,EventDate,イベント日,イベント日,日付/時間,false,false,true,true,false,true
000000000000000AAA,GuestUserAnomalyEventStore.EventIdentifier,EventIdentifier,GuestUserAnomalyEventStore,,EventIdentifier,行動 ID,行動 ID,テキスト(80),false,false,false,true,true,true
000000000000000AAA,GuestUserAnomalyEventStore.Id,Id,GuestUserAnomalyEventStore,,Id,ゲストユーザー異常イベントストア ID,ゲストユーザー異常イベントストア ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,GuestUserAnomalyEventStore.LastModifiedDate,LastModifiedDate,GuestUserAnomalyEventStore,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,GuestUserAnomalyEventStore.LastReferencedDate,LastReferencedDate,GuestUserAnomalyEventStore,,LastReferencedDate,最終参照日,最終参照日,日付/時間,false,true,false,true,false,true
000000000000000AAA,GuestUserAnomalyEventStore.LastViewedDate,LastViewedDate,GuestUserAnomalyEventStore,,LastViewedDate,最終閲覧日,最終閲覧日,日付/時間,false,true,false,true,false,true
000000000000000AAA,GuestUserAnomalyEventStore.LoginKey,LoginKey,GuestUserAnomalyEventStore,,LoginKey,ログインキー,ログインキー,テキスト(24),false,true,false,true,true,true
000000000000000AAA,GuestUserAnomalyEventStore.Name,GuestUserAnomalyEventNumber,GuestUserAnomalyEventStore,,Name,イベント名,イベント名,自動採番,false,false,true,true,false,true
000000000000000AAA,GuestUserAnomalyEventStore.Policy,PolicyId,GuestUserAnomalyEventStore,,Policy,ポリシー,ポリシー,参照関係(Transaction Security Policy),false,true,false,true,true,true
000000000000000AAA,GuestUserAnomalyEventStore.PolicyOutcome,PolicyOutcome,GuestUserAnomalyEventStore,,PolicyOutcome,ポリシーの結果,ポリシーの結果,選択リスト,false,true,false,true,true,true
000000000000000AAA,GuestUserAnomalyEventStore.RequestedEntities,RequestedEntities,GuestUserAnomalyEventStore,,RequestedEntities,要求されたエンティティ,要求されたエンティティ,ロングテキストエリア(131000),false,true,false,false,false,false
000000000000000AAA,GuestUserAnomalyEventStore.Score,Score,GuestUserAnomalyEventStore,,Score,スコア,スコア,数値(6、6),false,true,false,true,false,true
000000000000000AAA,GuestUserAnomalyEventStore.SecurityEventData,SecurityEventData,GuestUserAnomalyEventStore,,SecurityEventData,セキュリティイベントデータ,セキュリティイベントデータ,ロングテキストエリア(131000),false,true,false,false,false,false
000000000000000AAA,GuestUserAnomalyEventStore.SessionKey,SessionKey,GuestUserAnomalyEventStore,,SessionKey,セッションキー,セッションキー,テキスト(24),false,true,false,true,true,true
000000000000000AAA,GuestUserAnomalyEventStore.SoqlCommands,SoqlCommands,GuestUserAnomalyEventStore,,SoqlCommands,SOQL コマンド,SOQL コマンド,ロングテキストエリア(131000),false,true,false,false,false,false
000000000000000AAA,GuestUserAnomalyEventStore.SourceIp,SourceIp,GuestUserAnomalyEventStore,,SourceIp,IP アドレス,IP アドレス,テキスト(255),false,true,false,true,true,true
000000000000000AAA,GuestUserAnomalyEventStore.Summary,Summary,GuestUserAnomalyEventStore,,Summary,概要,概要,ロングテキストエリア(1000),false,true,false,false,false,false
000000000000000AAA,GuestUserAnomalyEventStore.SystemModstamp,SystemModstamp,GuestUserAnomalyEventStore,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,GuestUserAnomalyEventStore.TotalControllerEvents,TotalControllerEvents,GuestUserAnomalyEventStore,,TotalControllerEvents,コントローラーイベント総数,コントローラーイベント総数,数値(9、0),false,true,false,true,true,true
000000000000000AAA,GuestUserAnomalyEventStore.User,UserId,GuestUserAnomalyEventStore,,User,ユーザー,ユーザー,参照関係(ユーザー),false,true,false,true,true,true
000000000000000AAA,GuestUserAnomalyEventStore.UserAgent,UserAgent,GuestUserAnomalyEventStore,,UserAgent,現在のユーザーエージェント,現在のユーザーエージェント,テキスト(1000),false,true,false,true,false,true
000000000000000AAA,GuestUserAnomalyEventStore.Username,Username,GuestUserAnomalyEventStore,,Username,ユーザー名,ユーザー名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,GuestUserAnomalyEventStore.UserType,UserType,GuestUserAnomalyEventStore,,UserType,現在のユーザー種別,現在のユーザー種別,テキスト(255),false,true,false,true,true,true
