Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,IDEWorkspace.Content,Content,IDEWorkspace,,Content,ワークスペースコンテンツ,ワークスペースコンテンツ,ロングテキストエリア(64000),false,false,false,false,false,false
000000000000000AAA,IDEWorkspace.CreatedBy,CreatedById,IDEWorkspace,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,IDEWorkspace.CreatedDate,CreatedDate,IDEWorkspace,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,IDEWorkspace.Id,Id,IDEWorkspace,,Id,ワークスペース ID,ワークスペース ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,IDEWorkspace.IsDeleted,IsDeleted,IDEWorkspace,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,IDEWorkspace.LastModifiedBy,LastModifiedById,IDEWorkspace,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,IDEWorkspace.LastModifiedDate,LastModifiedDate,IDEWorkspace,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,IDEWorkspace.Name,Name,IDEWorkspace,,Name,ワークスペース名,ワークスペース名,テキスト(32),false,false,false,true,true,true
000000000000000AAA,IDEWorkspace.SystemModstamp,SystemModstamp,IDEWorkspace,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,IDEWorkspace.User,UserId,IDEWorkspace,,User,ワークスペース所有者,ワークスペース所有者,参照関係(ユーザー),false,false,true,true,true,true
