Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,IdentityResolutionHistory.CreatedBy,CreatedById,IdentityResolutionHistory,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,IdentityResolutionHistory.CreatedDate,CreatedDate,IdentityResolutionHistory,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,IdentityResolutionHistory.DataType,DataType,IdentityResolutionHistory,,DataType,データ型,データ型,選択リスト,false,true,false,true,true,true
000000000000000AAA,IdentityResolutionHistory.Field,Field,IdentityResolutionHistory,,Field,変更された項目,変更された項目,"選択リスト(カスタム項目の定義,カスタム項目データ列)",false,false,true,true,true,true
000000000000000AAA,IdentityResolutionHistory.Id,Id,IdentityResolutionHistory,,Id,ID 解決の履歴 ID,ID 解決の履歴 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,IdentityResolutionHistory.IdentityResolution,IdentityResolutionId,IdentityResolutionHistory,,IdentityResolution,ID 解決,ID 解決,参照関係(ID 解決),false,false,true,true,true,true
000000000000000AAA,IdentityResolutionHistory.IsDeleted,IsDeleted,IdentityResolutionHistory,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,IdentityResolutionHistory.NewvalDate,NewvalDate,IdentityResolutionHistory,,NewvalDate,新規の日付,新規の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,IdentityResolutionHistory.NewvalFirstName,NewvalFirstName,IdentityResolutionHistory,,NewvalFirstName,新規の名,新規の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,IdentityResolutionHistory.NewvalLastName,NewvalLastName,IdentityResolutionHistory,,NewvalLastName,新規の姓,新規の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,IdentityResolutionHistory.NewValue,NewValue,IdentityResolutionHistory,,NewValue,新しい値,新しい値,参照関係,false,true,false,false,false,true
000000000000000AAA,IdentityResolutionHistory.OldvalDate,OldvalDate,IdentityResolutionHistory,,OldvalDate,元の日付,元の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,IdentityResolutionHistory.OldvalFirstName,OldvalFirstName,IdentityResolutionHistory,,OldvalFirstName,元の名,元の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,IdentityResolutionHistory.OldvalLastName,OldvalLastName,IdentityResolutionHistory,,OldvalLastName,元の姓,元の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,IdentityResolutionHistory.OldValue,OldValue,IdentityResolutionHistory,,OldValue,元の値,元の値,参照関係,false,true,false,false,false,true
