Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,Image.AlternateText,AlternateText,Image,,AlternateText,アクセシビリティテキスト,アクセシビリティテキスト,テキスト(255),false,true,false,true,true,true
000000000000000AAA,Image.CapturedAngle,CapturedAngle,Image,,CapturedAngle,カメラの角度,カメラの角度,テキスト(8),false,true,false,true,true,true
000000000000000AAA,Image.ContentDocument,ContentDocumentId,Image,,ContentDocument,ファイル,ファイル,参照関係(コンテンツドキュメント),false,true,false,true,true,true
000000000000000AAA,Image.CreatedBy,CreatedById,Image,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,Image.CreatedDate,CreatedDate,Image,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,Image.Id,Id,Image,,Id,画像 ID,画像 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,Image.ImageClass,ImageClass,Image,,ImageClass,カテゴリ,カテゴリ,選択リスト,false,true,false,true,true,true
000000000000000AAA,Image.ImageClassObjectType,ImageClassObjectType,Image,,ImageClassObjectType,画像の種類,画像の種類,選択リスト,false,true,false,true,true,true
000000000000000AAA,Image.ImageViewType,ImageViewType,Image,,ImageViewType,画像の向き,画像の向き,テキスト(80),false,true,false,true,true,true
000000000000000AAA,Image.IsActive,IsActive,Image,,IsActive,有効,有効,チェックボックス,false,false,false,true,true,true
000000000000000AAA,Image.IsDeleted,IsDeleted,Image,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,Image.LastModifiedBy,LastModifiedById,Image,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,Image.LastModifiedDate,LastModifiedDate,Image,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,Image.LastReferencedDate,LastReferencedDate,Image,,LastReferencedDate,最終参照日,最終参照日,日付/時間,false,true,false,true,false,true
000000000000000AAA,Image.LastViewedDate,LastViewedDate,Image,,LastViewedDate,最終閲覧日,最終閲覧日,日付/時間,false,true,false,true,false,true
000000000000000AAA,Image.Name,Name,Image,,Name,名前,名前,テキスト(255),false,true,true,true,true,true
000000000000000AAA,Image.Owner,OwnerId,Image,,Owner,所有者 氏名,所有者 氏名,"参照関係(ユーザー,グループ)",false,false,true,true,true,true
000000000000000AAA,Image.RecordVisibility,RecordVisibilityId,Image,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,Image.SystemModstamp,SystemModstamp,Image,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,Image.Title,Title,Image,,Title,タイトル,タイトル,テキスト(255),false,true,false,true,true,true
000000000000000AAA,Image.Url,Url,Image,,Url,URL,URL,URL(255),false,true,false,true,true,true
000000000000000AAA,Image.UserRecordAccess,UserRecordAccessId,Image,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
