Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,IndividualHistory.CreatedBy,CreatedById,IndividualHistory,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,IndividualHistory.CreatedDate,CreatedDate,IndividualHistory,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,IndividualHistory.DataType,DataType,IndividualHistory,,DataType,データ型,データ型,選択リスト,false,true,false,true,true,true
000000000000000AAA,IndividualHistory.Field,Field,IndividualHistory,,Field,変更された項目,変更された項目,"選択リスト(カスタム項目の定義,カスタム項目データ列)",false,false,true,true,true,true
000000000000000AAA,IndividualHistory.Id,Id,IndividualHistory,,Id,個人履歴 ID,個人履歴 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,IndividualHistory.Individual,IndividualId,IndividualHistory,,Individual,個人,個人,参照関係(個人),false,false,true,true,true,true
000000000000000AAA,IndividualHistory.IsDeleted,IsDeleted,IndividualHistory,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,IndividualHistory.NewvalDate,NewvalDate,IndividualHistory,,NewvalDate,新規の日付,新規の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,IndividualHistory.NewvalFirstName,NewvalFirstName,IndividualHistory,,NewvalFirstName,新規の名,新規の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,IndividualHistory.NewvalLastName,NewvalLastName,IndividualHistory,,NewvalLastName,新規の姓,新規の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,IndividualHistory.NewValue,NewValue,IndividualHistory,,NewValue,新しい値,新しい値,参照関係,false,true,false,false,false,true
000000000000000AAA,IndividualHistory.OldvalDate,OldvalDate,IndividualHistory,,OldvalDate,元の日付,元の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,IndividualHistory.OldvalFirstName,OldvalFirstName,IndividualHistory,,OldvalFirstName,元の名,元の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,IndividualHistory.OldvalLastName,OldvalLastName,IndividualHistory,,OldvalLastName,元の姓,元の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,IndividualHistory.OldValue,OldValue,IndividualHistory,,OldValue,元の値,元の値,参照関係,false,true,false,false,false,true
