Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,LanguageSettings.ExternalId,DurableId,LanguageSettings,,ExternalId,設定テンプレート外部 ID,設定テンプレート外部 ID,外部参照,false,true,false,true,true,true
000000000000000AAA,LanguageSettings.FullName,FullName,LanguageSettings,,FullName,氏名,氏名,テキスト(255),false,true,false,false,true,false
000000000000000AAA,LanguageSettings.Id,Id,LanguageSettings,,Id,設定テンプレート ID,設定テンプレート ID,参照関係(),false,false,false,true,true,true
000000000000000AAA,LanguageSettings.IsCanadaIcuFormatEnabled,IsCanadaIcuFormatEnabled,LanguageSettings,,IsCanadaIcuFormatEnabled,__MISSING LABEL__ PropertyFile - val IsCanadaIcuFormatEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsCanadaIcuFormatEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,LanguageSettings.IsDataTranslationEnabled,IsDataTranslationEnabled,LanguageSettings,,IsDataTranslationEnabled,__MISSING LABEL__ PropertyFile - val IsDataTranslationEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsDataTranslationEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,LanguageSettings.IsEndUserLanguagesEnabled,IsEndUserLanguagesEnabled,LanguageSettings,,IsEndUserLanguagesEnabled,__MISSING LABEL__ PropertyFile - val IsEndUserLanguagesEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsEndUserLanguagesEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,LanguageSettings.IsIcuLocaleDateFormatEnabled,IsIcuLocaleDateFormatEnabled,LanguageSettings,,IsIcuLocaleDateFormatEnabled,__MISSING LABEL__ PropertyFile - val IsIcuLocaleDateFormatEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsIcuLocaleDateFormatEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,LanguageSettings.IsLanguageExtensionPackageEnabled,IsLanguageExtensionPackageEnabled,LanguageSettings,,IsLanguageExtensionPackageEnabled,__MISSING LABEL__ PropertyFile - val IsLanguageExtensionPackageEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsLanguageExtensionPackageEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,LanguageSettings.IsLocaleInsensitiveFilteringEnabled,IsLocaleInsensitiveFilteringEnabled,LanguageSettings,,IsLocaleInsensitiveFilteringEnabled,__MISSING LABEL__ PropertyFile - val IsLocaleInsensitiveFilteringEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsLocaleInsensitiveFilteringEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,LanguageSettings.IsLocalNamesForStdObjectsEnabled,IsLocalNamesForStdObjectsEnabled,LanguageSettings,,IsLocalNamesForStdObjectsEnabled,__MISSING LABEL__ PropertyFile - val IsLocalNamesForStdObjectsEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsLocalNamesForStdObjectsEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,LanguageSettings.IsPlatformLanguagesEnabled,IsPlatformLanguagesEnabled,LanguageSettings,,IsPlatformLanguagesEnabled,__MISSING LABEL__ PropertyFile - val IsPlatformLanguagesEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsPlatformLanguagesEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,LanguageSettings.IsTranslationWorkbenchEnabled,IsTranslationWorkbenchEnabled,LanguageSettings,,IsTranslationWorkbenchEnabled,__MISSING LABEL__ PropertyFile - val IsTranslationWorkbenchEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsTranslationWorkbenchEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,LanguageSettings.Metadata,Metadata,LanguageSettings,,Metadata,メタデータ,メタデータ,複合値,false,true,false,false,false,false
000000000000000AAA,LanguageSettings.UseLanguageFallback,UseLanguageFallback,LanguageSettings,,UseLanguageFallback,__MISSING LABEL__ PropertyFile - val UseLanguageFallback not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val UseLanguageFallback not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
