Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,LayoutSectionLocalization.CreatedBy,CreatedById,LayoutSectionLocalization,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,LayoutSectionLocalization.CreatedDate,CreatedDate,LayoutSectionLocalization,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,LayoutSectionLocalization.Id,Id,LayoutSectionLocalization,,Id,翻訳 ID,翻訳 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,LayoutSectionLocalization.Language,Language,LayoutSectionLocalization,,Language,言語,言語,選択リスト,false,false,true,true,true,true
000000000000000AAA,LayoutSectionLocalization.LastModifiedBy,LastModifiedById,LayoutSectionLocalization,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,LayoutSectionLocalization.LastModifiedDate,LastModifiedDate,LayoutSectionLocalization,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,LayoutSectionLocalization.ManageableState,ManageableState,LayoutSectionLocalization,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,LayoutSectionLocalization.NamespacePrefix,NamespacePrefix,LayoutSectionLocalization,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,LayoutSectionLocalization.Parent,ParentId,LayoutSectionLocalization,,Parent,親,親,参照関係(ページレイアウトセクション),false,false,true,true,true,true
000000000000000AAA,LayoutSectionLocalization.SystemModstamp,SystemModstamp,LayoutSectionLocalization,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,LayoutSectionLocalization.Value,Value,LayoutSectionLocalization,,Value,翻訳テキスト,翻訳テキスト,ロングテキストエリア(32000),false,false,false,true,false,true
