Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,LeadCleanInfo.Address,Address,LeadCleanInfo,,Address,住所,住所,住所,false,true,false,true,false,false
000000000000000AAA,LeadCleanInfo.AnnualRevenue,AnnualRevenue,LeadCleanInfo,,AnnualRevenue,年間売上,年間売上,通貨(18、0),false,true,false,true,false,true
000000000000000AAA,LeadCleanInfo.CleanedBy,CleanedBy,LeadCleanInfo,,CleanedBy,クリーンアップ基準,クリーンアップ基準,ビットベクター,false,false,false,true,false,false
000000000000000AAA,LeadCleanInfo.CompanyDunsNumber,CompanyDunsNumber,LeadCleanInfo,,CompanyDunsNumber,会社の D-U-N-S number,会社の D-U-N-S number,テキスト(9),false,true,false,true,true,true
000000000000000AAA,LeadCleanInfo.CompanyName,CompanyName,LeadCleanInfo,,CompanyName,会社名,会社名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,LeadCleanInfo.ContactStatusDataDotCom,ContactStatusDataDotCom,LeadCleanInfo,,ContactStatusDataDotCom,取引先責任者の状況 (Data.com> 情報),取引先責任者の状況 (Data.com> 情報),選択リスト,false,true,false,true,true,true
000000000000000AAA,LeadCleanInfo.CreatedBy,CreatedById,LeadCleanInfo,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,LeadCleanInfo.CreatedDate,CreatedDate,LeadCleanInfo,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,LeadCleanInfo.DandBCompanyDunsNumber,DandBCompanyDunsNumber,LeadCleanInfo,,DandBCompanyDunsNumber,D&B 企業の D-U-N-S Number,D&B 企業の D-U-N-S Number,テキスト(9),false,true,false,true,true,true
000000000000000AAA,LeadCleanInfo.DataDotComCompanyId,DataDotComCompanyId,LeadCleanInfo,,DataDotComCompanyId,Data.com 会社 ID,Data.com 会社 ID,テキスト(20),false,true,false,true,true,true
