Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,LightningUriEventStream.AppName,AppName,LightningUriEventStream,,AppName,アプリケーション名,アプリケーション名,テキスト(255),false,true,false,false,false,false
000000000000000AAA,LightningUriEventStream.ConnectionType,ConnectionType,LightningUriEventStream,,ConnectionType,接続種別,接続種別,テキスト(255),false,true,false,false,false,false
000000000000000AAA,LightningUriEventStream.CreatedDate,CreatedDate,LightningUriEventStream,,CreatedDate,作成日,作成日,日付/時間,false,false,false,false,false,false
000000000000000AAA,LightningUriEventStream.DeviceId,DeviceId,LightningUriEventStream,,DeviceId,デバイス ID,デバイス ID,テキスト(255),false,true,false,false,false,false
000000000000000AAA,LightningUriEventStream.DeviceModel,DeviceModel,LightningUriEventStream,,DeviceModel,デバイスモデル,デバイスモデル,テキスト(255),false,true,false,false,false,false
000000000000000AAA,LightningUriEventStream.DevicePlatform,DevicePlatform,LightningUriEventStream,,DevicePlatform,デバイスのプラットフォーム,デバイスのプラットフォーム,テキスト(255),false,true,false,false,false,false
000000000000000AAA,LightningUriEventStream.DeviceSessionId,DeviceSessionId,LightningUriEventStream,,DeviceSessionId,デバイスセッション ID,デバイスセッション ID,テキスト(255),false,true,false,false,false,false
000000000000000AAA,LightningUriEventStream.Duration,Duration,LightningUriEventStream,,Duration,期間,期間,数値(18、0),false,true,false,false,false,false
000000000000000AAA,LightningUriEventStream.EffectivePageTime,EffectivePageTime,LightningUriEventStream,,EffectivePageTime,実効ページ時間,実効ページ時間,数値(18、0),false,true,false,false,false,false
000000000000000AAA,LightningUriEventStream.EffectivePageTimeDeviationErrorType,EffectivePageTimeDeviationErrorType,LightningUriEventStream,,EffectivePageTimeDeviationErrorType,実効ページ時間のずれのエラー種別,実効ページ時間のずれのエラー種別,テキスト(255),false,true,false,false,false,false
000000000000000AAA,LightningUriEventStream.EffectivePageTimeDeviationReason,EffectivePageTimeDeviationReason,LightningUriEventStream,,EffectivePageTimeDeviationReason,実効ページ時間のずれの理由,実効ページ時間のずれの理由,テキスト(255),false,true,false,false,false,false
000000000000000AAA,LightningUriEventStream.EventDate,EventDate,LightningUriEventStream,,EventDate,イベント日,イベント日,日付/時間,false,true,false,false,false,false
000000000000000AAA,LightningUriEventStream.EventIdentifier,EventIdentifier,LightningUriEventStream,,EventIdentifier,イベント識別子,イベント識別子,テキスト(80),false,true,false,false,false,false
000000000000000AAA,LightningUriEventStream.EventUuid,EventUuid,LightningUriEventStream,,EventUuid,イベント UUID,イベント UUID,テキスト(36),false,true,false,false,false,false
000000000000000AAA,LightningUriEventStream.HasEffectivePageTimeDeviation,HasEffectivePageTimeDeviation,LightningUriEventStream,,HasEffectivePageTimeDeviation,実効ページ時間のずれあり,実効ページ時間のずれあり,チェックボックス,false,false,false,false,false,false
000000000000000AAA,LightningUriEventStream.LoginKey,LoginKey,LightningUriEventStream,,LoginKey,ログインキー,ログインキー,テキスト(24),false,true,false,false,false,false
000000000000000AAA,LightningUriEventStream.Operation,Operation,LightningUriEventStream,,Operation,操作,操作,選択リスト,false,true,false,false,false,false
000000000000000AAA,LightningUriEventStream.OsName,OsName,LightningUriEventStream,,OsName,OS 名,OS 名,テキスト(255),false,true,false,false,false,false
000000000000000AAA,LightningUriEventStream.OsVersion,OsVersion,LightningUriEventStream,,OsVersion,OS バージョン,OS バージョン,テキスト(255),false,true,false,false,false,false
000000000000000AAA,LightningUriEventStream.PageStartTime,PageStartTime,LightningUriEventStream,,PageStartTime,ページ開始時刻,ページ開始時刻,日付/時間,false,true,false,false,false,false
000000000000000AAA,LightningUriEventStream.PageUrl,PageUrl,LightningUriEventStream,,PageUrl,ページ URL,ページ URL,URL(255),false,true,false,false,false,false
000000000000000AAA,LightningUriEventStream.PreviousPageAppName,PreviousPageAppName,LightningUriEventStream,,PreviousPageAppName,前のページのアプリケーション名,前のページのアプリケーション名,テキスト(255),false,true,false,false,false,false
000000000000000AAA,LightningUriEventStream.PreviousPageEntityId,PreviousPageEntityId,LightningUriEventStream,,PreviousPageEntityId,前のページのエンティティ ID,前のページのエンティティ ID,テキスト(18),false,true,false,false,false,false
000000000000000AAA,LightningUriEventStream.PreviousPageEntityType,PreviousPageEntityType,LightningUriEventStream,,PreviousPageEntityType,前のページのエンティティ種別,前のページのエンティティ種別,テキスト(255),false,true,false,false,false,false
000000000000000AAA,LightningUriEventStream.PreviousPageUrl,PreviousPageUrl,LightningUriEventStream,,PreviousPageUrl,前のページの URL,前のページの URL,URL(255),false,true,false,false,false,false
000000000000000AAA,LightningUriEventStream.Profile,ProfileId,LightningUriEventStream,,Profile,プロファイル,プロファイル,参照関係(プロファイル),false,true,false,false,false,false
000000000000000AAA,LightningUriEventStream.QueriedEntities,QueriedEntities,LightningUriEventStream,,QueriedEntities,照会されるエンティティ,照会されるエンティティ,テキスト(1000),false,true,false,false,false,false
000000000000000AAA,LightningUriEventStream.RecordId,RecordId,LightningUriEventStream,,RecordId,カスタムオブジェクト ID,カスタムオブジェクト ID,テキスト(18),false,true,false,false,false,false
000000000000000AAA,LightningUriEventStream.RelatedEventIdentifier,RelatedEventIdentifier,LightningUriEventStream,,RelatedEventIdentifier,関連イベント識別子,関連イベント識別子,テキスト(80),false,true,false,false,false,false
000000000000000AAA,LightningUriEventStream.ReplayId,ReplayId,LightningUriEventStream,,ReplayId,再実行 ID,再実行 ID,外部参照,false,true,false,false,false,false
