Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,LocationGroup.CreatedBy,CreatedById,LocationGroup,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,LocationGroup.CreatedDate,CreatedDate,LocationGroup,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,LocationGroup.Description,Description,LocationGroup,,Description,説明,説明,ロングテキストエリア(2000),false,true,false,false,false,false
000000000000000AAA,LocationGroup.ExternalReference,ExternalReference,LocationGroup,,ExternalReference,外部参照,外部参照,テキスト(255),false,true,false,true,true,true
000000000000000AAA,LocationGroup.Id,Id,LocationGroup,,Id,ロケーショングループ ID,ロケーショングループ ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,LocationGroup.IsDeleted,IsDeleted,LocationGroup,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,LocationGroup.IsEnabled,IsEnabled,LocationGroup,,IsEnabled,有効,有効,チェックボックス,false,false,false,true,true,true
000000000000000AAA,LocationGroup.LastModifiedBy,LastModifiedById,LocationGroup,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,LocationGroup.LastModifiedDate,LastModifiedDate,LocationGroup,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,LocationGroup.LastReferencedDate,LastReferencedDate,LocationGroup,,LastReferencedDate,最終参照日,最終参照日,日付/時間,false,true,false,true,false,true
000000000000000AAA,LocationGroup.LastViewedDate,LastViewedDate,LocationGroup,,LastViewedDate,最終閲覧日,最終閲覧日,日付/時間,false,true,false,true,false,true
000000000000000AAA,LocationGroup.Name,LocationGroupName,LocationGroup,,Name,ロケーショングループ番号,ロケーショングループ番号,テキスト(255),false,false,true,true,true,true
000000000000000AAA,LocationGroup.Owner,OwnerId,LocationGroup,,Owner,所有者 氏名,所有者 氏名,"参照関係(ユーザー,グループ)",false,false,true,true,true,true
000000000000000AAA,LocationGroup.RecordVisibility,RecordVisibilityId,LocationGroup,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,LocationGroup.ShouldSyncWithOci,ShouldSyncWithOci,LocationGroup,,ShouldSyncWithOci,OCI と同期,OCI と同期,チェックボックス,false,false,false,true,true,true
000000000000000AAA,LocationGroup.SystemModstamp,SystemModstamp,LocationGroup,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,LocationGroup.UserRecordAccess,UserRecordAccessId,LocationGroup,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
