Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,LoginAnomalyEventStore.CreatedDate,CreatedDate,LoginAnomalyEventStore,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,LoginAnomalyEventStore.EvaluationTime,EvaluationTime,LoginAnomalyEventStore,,EvaluationTime,評価時間,評価時間,数値(18、0),false,true,false,true,false,true
000000000000000AAA,LoginAnomalyEventStore.EventDate,EventDate,LoginAnomalyEventStore,,EventDate,イベント日,イベント日,日付/時間,false,false,true,true,false,true
000000000000000AAA,LoginAnomalyEventStore.EventIdentifier,EventIdentifier,LoginAnomalyEventStore,,EventIdentifier,イベント ID,イベント ID,テキスト(80),false,false,false,true,true,true
000000000000000AAA,LoginAnomalyEventStore.FeatureContribution,FeatureContribution,LoginAnomalyEventStore,,FeatureContribution,FeatureContribution,FeatureContribution,数値(6、6),false,true,false,true,false,true
000000000000000AAA,LoginAnomalyEventStore.FeatureName,FeatureName,LoginAnomalyEventStore,,FeatureName,FeatureName,FeatureName,テキスト(100),false,true,false,true,true,true
000000000000000AAA,LoginAnomalyEventStore.FeatureValue,FeatureValue,LoginAnomalyEventStore,,FeatureValue,FeatureValue,FeatureValue,数値(6、6),false,true,false,true,false,true
000000000000000AAA,LoginAnomalyEventStore.Id,Id,LoginAnomalyEventStore,,Id,ログイン異常イベントストア ID,ログイン異常イベントストア ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,LoginAnomalyEventStore.LastModifiedDate,LastModifiedDate,LoginAnomalyEventStore,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,LoginAnomalyEventStore.LastReferencedDate,LastReferencedDate,LoginAnomalyEventStore,,LastReferencedDate,最終参照日,最終参照日,日付/時間,false,true,false,true,false,true
000000000000000AAA,LoginAnomalyEventStore.LastViewedDate,LastViewedDate,LoginAnomalyEventStore,,LastViewedDate,最終閲覧日,最終閲覧日,日付/時間,false,true,false,true,false,true
000000000000000AAA,LoginAnomalyEventStore.LoginKey,LoginKey,LoginAnomalyEventStore,,LoginKey,ログインキー,ログインキー,テキスト(24),false,true,false,true,true,true
000000000000000AAA,LoginAnomalyEventStore.Name,LoginAnomalyEventNumber,LoginAnomalyEventStore,,Name,イベント名,イベント名,自動採番,false,false,true,true,false,true
000000000000000AAA,LoginAnomalyEventStore.Policy,PolicyId,LoginAnomalyEventStore,,Policy,ポリシー,ポリシー,参照関係(Transaction Security Policy),false,true,false,true,true,true
000000000000000AAA,LoginAnomalyEventStore.PolicyOutcome,PolicyOutcome,LoginAnomalyEventStore,,PolicyOutcome,ポリシーの結果,ポリシーの結果,選択リスト,false,true,false,true,true,true
000000000000000AAA,LoginAnomalyEventStore.Score,Score,LoginAnomalyEventStore,,Score,スコア,スコア,数値(6、6),false,true,false,true,false,true
000000000000000AAA,LoginAnomalyEventStore.SecurityEventData,SecurityEventData,LoginAnomalyEventStore,,SecurityEventData,SecurityEventData,SecurityEventData,ロングテキストエリア(131000),false,true,false,false,false,false
000000000000000AAA,LoginAnomalyEventStore.SessionKey,SessionKey,LoginAnomalyEventStore,,SessionKey,セッションキー,セッションキー,テキスト(24),false,true,false,true,true,true
000000000000000AAA,LoginAnomalyEventStore.SourceIp,SourceIp,LoginAnomalyEventStore,,SourceIp,ソース IP アドレス,ソース IP アドレス,テキスト(255),false,true,false,true,true,true
000000000000000AAA,LoginAnomalyEventStore.Summary,Summary,LoginAnomalyEventStore,,Summary,サマリー,サマリー,ロングテキストエリア(1000),false,true,false,false,false,false
000000000000000AAA,LoginAnomalyEventStore.SystemModstamp,SystemModstamp,LoginAnomalyEventStore,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,LoginAnomalyEventStore.User,UserId,LoginAnomalyEventStore,,User,ユーザー,ユーザー,参照関係(ユーザー),false,true,false,true,true,true
000000000000000AAA,LoginAnomalyEventStore.Username,Username,LoginAnomalyEventStore,,Username,ユーザー名,ユーザー名,テキスト(255),false,true,false,true,true,true
