Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,LoginGeo.City,City,LoginGeo,,City,市区郡,市区郡,テキスト(200),false,true,false,true,true,true
000000000000000AAA,LoginGeo.Country,Country,LoginGeo,,Country,国,国,テキスト(200),false,true,false,true,true,true
000000000000000AAA,LoginGeo.CountryIso,CountryIso,LoginGeo,,CountryIso,国コード,国コード,テキスト(3),false,true,false,true,true,true
000000000000000AAA,LoginGeo.CreatedBy,CreatedById,LoginGeo,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,LoginGeo.CreatedDate,CreatedDate,LoginGeo,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,LoginGeo.Id,Id,LoginGeo,,Id,ログイン地理情報データ ID,ログイン地理情報データ ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,LoginGeo.IsDeleted,IsDeleted,LoginGeo,,IsDeleted,削除済み,削除済み,チェックボックス,false,false,false,true,true,true
000000000000000AAA,LoginGeo.LastModifiedBy,LastModifiedById,LoginGeo,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,LoginGeo.LastModifiedDate,LastModifiedDate,LoginGeo,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,LoginGeo.Latitude,Latitude,LoginGeo,,Latitude,緯度,緯度,数値(18、0),false,true,false,true,false,true
000000000000000AAA,LoginGeo.LoginTime,LoginTime,LoginGeo,,LoginTime,ログイン時刻,ログイン時刻,日付/時間,false,false,true,true,false,true
000000000000000AAA,LoginGeo.Longitude,Longitude,LoginGeo,,Longitude,経度,経度,数値(18、0),false,true,false,true,false,true
000000000000000AAA,LoginGeo.PostalCode,PostalCode,LoginGeo,,PostalCode,郵便番号,郵便番号,テキスト(20),false,true,false,true,true,true
000000000000000AAA,LoginGeo.Subdivision,Subdivision,LoginGeo,,Subdivision,下位区分,下位区分,テキスト(200),false,true,false,true,true,true
000000000000000AAA,LoginGeo.SystemModstamp,SystemModstamp,LoginGeo,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
