Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ManagedContentChannel.CacheControlMaxAge,CacheControlMaxAge,ManagedContentChannel,,CacheControlMaxAge,キャッシュコントロール最大保持期間,キャッシュコントロール最大保持期間,数値(18、0),false,true,false,true,true,true
000000000000000AAA,ManagedContentChannel.CreatedBy,CreatedById,ManagedContentChannel,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,ManagedContentChannel.CreatedDate,CreatedDate,ManagedContentChannel,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,ManagedContentChannel.Domain,Domain,ManagedContentChannel,,Domain,管理コンテンツチャネルドメイン,管理コンテンツチャネルドメイン,選択リスト(ドメイン),false,true,false,true,true,true
000000000000000AAA,ManagedContentChannel.DomainHostName,DomainHostName,ManagedContentChannel,,DomainHostName,ドメインのホスト名,ドメインのホスト名,テキスト(765),false,true,false,true,false,true
000000000000000AAA,ManagedContentChannel.Id,Id,ManagedContentChannel,,Id,管理コンテンツチャネル ID,管理コンテンツチャネル ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ManagedContentChannel.IsDeleted,IsDeleted,ManagedContentChannel,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ManagedContentChannel.LastModifiedBy,LastModifiedById,ManagedContentChannel,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ManagedContentChannel.LastModifiedDate,LastModifiedDate,ManagedContentChannel,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ManagedContentChannel.MediaCacheControlMaxAge,MediaCacheControlMaxAge,ManagedContentChannel,,MediaCacheControlMaxAge,メディアキャッシュコントロール最大保持期間,メディアキャッシュコントロール最大保持期間,数値(18、0),false,true,false,true,true,true
000000000000000AAA,ManagedContentChannel.Name,Name,ManagedContentChannel,,Name,管理コンテンツチャネル名,管理コンテンツチャネル名,テキスト(255),false,false,true,true,true,true
000000000000000AAA,ManagedContentChannel.Options,Options,ManagedContentChannel,,Options,__MISSING LABEL__ PropertyFile - val Options not found in section udd_ManagedContentChannel,__MISSING LABEL__ PropertyFile - val Options not found in section udd_ManagedContentChannel,ビットベクター,false,false,false,true,false,false
000000000000000AAA,ManagedContentChannel.RecordVisibility,RecordVisibilityId,ManagedContentChannel,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,ManagedContentChannel.SystemModstamp,SystemModstamp,ManagedContentChannel,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,ManagedContentChannel.Type,Type,ManagedContentChannel,,Type,管理コンテンツチャネル種別,管理コンテンツチャネル種別,選択リスト,false,false,false,true,true,true
000000000000000AAA,ManagedContentChannel.UserRecordAccess,UserRecordAccessId,ManagedContentChannel,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
