Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ManagedContentNodeType.CreatedBy,CreatedById,ManagedContentNodeType,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ManagedContentNodeType.CreatedDate,CreatedDate,ManagedContentNodeType,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ManagedContentNodeType.HelpText,HelpText,ManagedContentNodeType,,HelpText,ヘルプテキスト,ヘルプテキスト,テキストエリア(255),false,true,false,true,true,true
000000000000000AAA,ManagedContentNodeType.Id,Id,ManagedContentNodeType,,Id,管理コンテンツノード種別 ID,管理コンテンツノード種別 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ManagedContentNodeType.IsDeleted,IsDeleted,ManagedContentNodeType,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ManagedContentNodeType.LastModifiedBy,LastModifiedById,ManagedContentNodeType,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ManagedContentNodeType.LastModifiedDate,LastModifiedDate,ManagedContentNodeType,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ManagedContentNodeType.ManagedContentTypeVersion,ManagedContentTypeVersionId,ManagedContentNodeType,,ManagedContentTypeVersion,管理コンテンツタイプバージョン,管理コンテンツタイプバージョン,主従関係(管理コンテンツタイプバージョン),false,false,true,true,true,true
000000000000000AAA,ManagedContentNodeType.NodeLabel,NodeLabel,ManagedContentNodeType,,NodeLabel,ノード表示ラベル,ノード表示ラベル,テキスト(100),false,false,false,true,true,true
000000000000000AAA,ManagedContentNodeType.NodeName,NodeName,ManagedContentNodeType,,NodeName,ノード名,ノード名,テキスト(100),false,false,false,true,true,true
000000000000000AAA,ManagedContentNodeType.NodeOptions,NodeOptions,ManagedContentNodeType,,NodeOptions,ノードオプション,ノードオプション,ビットベクター,false,false,false,true,false,false
000000000000000AAA,ManagedContentNodeType.NodeSubType,NodeSubType,ManagedContentNodeType,,NodeSubType,Node SubType,Node SubType,テキストエリア(255),false,true,false,true,true,true
000000000000000AAA,ManagedContentNodeType.NodeType,NodeType,ManagedContentNodeType,,NodeType,ノードの種別,ノードの種別,選択リスト,false,false,false,true,true,true
000000000000000AAA,ManagedContentNodeType.ParentNode,ParentNodeId,ManagedContentNodeType,,ParentNode,親ノード,親ノード,参照関係(管理コンテンツノード種別),false,true,false,true,true,true
000000000000000AAA,ManagedContentNodeType.PlaceholderText,PlaceholderText,ManagedContentNodeType,,PlaceholderText,プレースホルダーテキスト,プレースホルダーテキスト,テキストエリア(255),false,true,false,true,true,true
000000000000000AAA,ManagedContentNodeType.SortOrder,SortOrder,ManagedContentNodeType,,SortOrder,並び替え順,並び替え順,数値(9、0),false,false,false,true,true,true
000000000000000AAA,ManagedContentNodeType.SystemModstamp,SystemModstamp,ManagedContentNodeType,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
