Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ManagedContentVariantChangeEvent.ChangeEventHeader,ChangeEventHeader,ManagedContentVariantChangeEvent,,ChangeEventHeader,変更イベントヘッダー,変更イベントヘッダー,複合値,false,false,false,false,false,false
000000000000000AAA,ManagedContentVariantChangeEvent.ContentTypeFullyQualifiedName,ContentTypeFullyQualifiedName,ManagedContentVariantChangeEvent,,ContentTypeFullyQualifiedName,コンテンツタイプ完全修飾名,コンテンツタイプ完全修飾名,テキスト(255),false,true,false,false,false,false
000000000000000AAA,ManagedContentVariantChangeEvent.CreatedBy,CreatedById,ManagedContentVariantChangeEvent,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,ManagedContentVariantChangeEvent.CreatedDate,CreatedDate,ManagedContentVariantChangeEvent,,CreatedDate,作成日,作成日,日付/時間,false,true,false,false,false,false
000000000000000AAA,ManagedContentVariantChangeEvent.IsReady,IsReady,ManagedContentVariantChangeEvent,,IsReady,公開準備完了,公開準備完了,チェックボックス,false,false,false,false,false,false
000000000000000AAA,ManagedContentVariantChangeEvent.Language,Language,ManagedContentVariantChangeEvent,,Language,言語,言語,選択リスト,false,true,false,false,false,false
000000000000000AAA,ManagedContentVariantChangeEvent.LastModifiedBy,LastModifiedById,ManagedContentVariantChangeEvent,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,ManagedContentVariantChangeEvent.LastModifiedDate,LastModifiedDate,ManagedContentVariantChangeEvent,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,true,false,false,false,false
000000000000000AAA,ManagedContentVariantChangeEvent.ManagedContent,ManagedContentId,ManagedContentVariantChangeEvent,,ManagedContent,管理コンテンツ,管理コンテンツ,参照関係(管理コンテンツ),false,true,false,false,false,false
000000000000000AAA,ManagedContentVariantChangeEvent.ManagedContentKey,ManagedContentKey,ManagedContentVariantChangeEvent,,ManagedContentKey,コンテンツキー,コンテンツキー,テキスト(80),false,true,false,false,false,false
000000000000000AAA,ManagedContentVariantChangeEvent.ManagedContentVariantStatus,ManagedContentVariantStatus,ManagedContentVariantChangeEvent,,ManagedContentVariantStatus,状況,状況,選択リスト,false,true,false,false,false,false
000000000000000AAA,ManagedContentVariantChangeEvent.Name,Name,ManagedContentVariantChangeEvent,,Name,タイトル,タイトル,テキスト(255),false,true,false,false,false,false
000000000000000AAA,ManagedContentVariantChangeEvent.UrlName,UrlName,ManagedContentVariantChangeEvent,,UrlName,コンテンツスラッグ,コンテンツスラッグ,テキスト(80),false,true,false,false,false,false
000000000000000AAA,ManagedContentVariantChangeEvent.VariantType,VariantType,ManagedContentVariantChangeEvent,,VariantType,バリエーション種別,バリエーション種別,選択リスト,false,true,false,false,false,false
