Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ManagedEventSubscription.CreatedBy,CreatedById,ManagedEventSubscription,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ManagedEventSubscription.CreatedDate,CreatedDate,ManagedEventSubscription,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ManagedEventSubscription.DeveloperName,DeveloperName,ManagedEventSubscription,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,ManagedEventSubscription.FullName,FullName,ManagedEventSubscription,,FullName,管理イベント登録 API 参照名,管理イベント登録 API 参照名,テキスト(255),false,true,false,false,true,false
000000000000000AAA,ManagedEventSubscription.Id,Id,ManagedEventSubscription,,Id,管理イベントサブスクリプション ID,管理イベントサブスクリプション ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ManagedEventSubscription.IsDeleted,IsDeleted,ManagedEventSubscription,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ManagedEventSubscription.Language,Language,ManagedEventSubscription,,Language,マスター言語,マスター言語,選択リスト,false,true,false,true,true,true
000000000000000AAA,ManagedEventSubscription.LastModifiedBy,LastModifiedById,ManagedEventSubscription,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ManagedEventSubscription.LastModifiedDate,LastModifiedDate,ManagedEventSubscription,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ManagedEventSubscription.ManageableState,ManageableState,ManagedEventSubscription,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,ManagedEventSubscription.MasterLabel,MasterLabel,ManagedEventSubscription,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,ManagedEventSubscription.Metadata,Metadata,ManagedEventSubscription,,Metadata,管理イベント登録メタデータ,管理イベント登録メタデータ,複合値,false,true,false,false,false,false
000000000000000AAA,ManagedEventSubscription.NamespacePrefix,NamespacePrefix,ManagedEventSubscription,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,ManagedEventSubscription.SystemModstamp,SystemModstamp,ManagedEventSubscription,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,ManagedEventSubscription.Version,Version,ManagedEventSubscription,,Version,管理イベント登録バージョン,管理イベント登録バージョン,テキスト(255),false,false,false,true,true,true
