Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,MarketSegmentActivationChangeEvent.ActivationEventMetadata,ActivationEventMetadata,MarketSegmentActivationChangeEvent,,ActivationEventMetadata,有効化イベントメタデータ,有効化イベントメタデータ,ロングテキストエリア(32000),false,true,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.ActivationFlowType,ActivationFlowType,MarketSegmentActivationChangeEvent,,ActivationFlowType,有効化種別,有効化種別,選択リスト,false,true,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.ActivationMappingSchema,ActivationMappingSchema,MarketSegmentActivationChangeEvent,,ActivationMappingSchema,有効化対応付けスキーマ,有効化対応付けスキーマ,テキスト(255),false,true,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.ActivationObject,ActivationObjectId,MarketSegmentActivationChangeEvent,,ActivationObject,有効化オブジェクト,有効化オブジェクト,参照関係(データモデルオブジェクト),false,true,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.ActivationObjectFilter,ActivationObjectFilter,MarketSegmentActivationChangeEvent,,ActivationObjectFilter,有効化オブジェクト検索条件,有効化オブジェクト検索条件,テキスト(255),false,true,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.ActivationObjectName,ActivationObjectName,MarketSegmentActivationChangeEvent,,ActivationObjectName,データモデルオブジェクト,データモデルオブジェクト,テキスト(255),false,true,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.ActivationObjectPath,ActivationObjectPath,MarketSegmentActivationChangeEvent,,ActivationObjectPath,有効化オブジェクトパス,有効化オブジェクトパス,ロングテキストエリア(4096),false,true,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.ActivationProcessingType,ActivationProcessingType,MarketSegmentActivationChangeEvent,,ActivationProcessingType,処理種別,処理種別,選択リスト,false,true,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.ActivationRecordSchema,ActivationRecordSchema,MarketSegmentActivationChangeEvent,,ActivationRecordSchema,有効化スキーマ,有効化スキーマ,ロングテキストエリア(131072),false,true,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.ActivationRefreshType,ActivationRefreshType,MarketSegmentActivationChangeEvent,,ActivationRefreshType,有効化更新種別,有効化更新種別,選択リスト,false,true,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.ActivationStatus,ActivationStatus,MarketSegmentActivationChangeEvent,,ActivationStatus,有効化状況,有効化状況,選択リスト,false,true,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.ActivationTarget,ActivationTargetId,MarketSegmentActivationChangeEvent,,ActivationTarget,有効化対象,有効化対象,参照関係(有効化対象),false,true,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.AudienceDmoLastRunTimestamp,AudienceDmoLastRunTimestamp,MarketSegmentActivationChangeEvent,,AudienceDmoLastRunTimestamp,オーディエンス DMO 最終実行タイムスタンプ,オーディエンス DMO 最終実行タイムスタンプ,日付/時間,false,true,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.ChangeEventHeader,ChangeEventHeader,MarketSegmentActivationChangeEvent,,ChangeEventHeader,変更イベントヘッダー,変更イベントヘッダー,複合値,false,false,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.CreatedBy,CreatedById,MarketSegmentActivationChangeEvent,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.CreatedDate,CreatedDate,MarketSegmentActivationChangeEvent,,CreatedDate,作成日,作成日,日付/時間,false,true,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.CuratedEntity,CuratedEntityId,MarketSegmentActivationChangeEvent,,CuratedEntity,選定データモデルエンティティ,選定データモデルエンティティ,参照関係(データモデルオブジェクト),false,true,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.CuratedEntityName,CuratedEntityName,MarketSegmentActivationChangeEvent,,CuratedEntityName,選定データモデルエンティティ名,選定データモデルエンティティ名,テキスト(255),false,true,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.CustomerFileSource,CustomerFileSource,MarketSegmentActivationChangeEvent,,CustomerFileSource,顧客ファイルソースエンティティ名,顧客ファイルソースエンティティ名,選択リスト,false,true,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.DataGraph,DataGraphId,MarketSegmentActivationChangeEvent,,DataGraph,データグラフ,データグラフ,参照関係(データグラフ定義),false,true,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.DataGraphName,DataGraphName,MarketSegmentActivationChangeEvent,,DataGraphName,データグラフ,データグラフ,テキスト(255),false,true,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.DataGraphPath,DataGraphPath,MarketSegmentActivationChangeEvent,,DataGraphPath,有効化データグラフパス,有効化データグラフパス,ロングテキストエリア(4096),false,true,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.Description,Description,MarketSegmentActivationChangeEvent,,Description,説明,説明,テキスト(255),false,true,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.DirectAttributeDmoFilterExpression,DirectAttributeDmoFilterExpression,MarketSegmentActivationChangeEvent,,DirectAttributeDmoFilterExpression,直接属性 DMO 検索条件式,直接属性 DMO 検索条件式,ロングテキストエリア(131072),false,true,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.DmoFilterExpression,DmoFilterExpression,MarketSegmentActivationChangeEvent,,DmoFilterExpression,DMO 検索条件式,DMO 検索条件式,ロングテキストエリア(131072),false,true,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.DoExcludeDeletes,DoExcludeDeletes,MarketSegmentActivationChangeEvent,,DoExcludeDeletes,最後の更新以降に削除されたレコードを除外,最後の更新以降に削除されたレコードを除外,チェックボックス,false,false,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.DoExcludeUpdates,DoExcludeUpdates,MarketSegmentActivationChangeEvent,,DoExcludeUpdates,最後の更新以降に変更されたレコードを除外,最後の更新以降に変更されたレコードを除外,チェックボックス,false,false,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.EndDate,EndDate,MarketSegmentActivationChangeEvent,,EndDate,有効化処理の終了日,有効化処理の終了日,日付/時間,false,true,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.IdentityProviderDetails,IdentityProviderDetails,MarketSegmentActivationChangeEvent,,IdentityProviderDetails,ID プロバイダーの詳細,ID プロバイダーの詳細,ロングテキストエリア(131072),false,true,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.IsRemote,IsRemote,MarketSegmentActivationChangeEvent,,IsRemote,リモート,リモート,チェックボックス,false,false,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.LastActivationStatusDateTime,LastActivationStatusDateTime,MarketSegmentActivationChangeEvent,,LastActivationStatusDateTime,有効化状況最終更新日,有効化状況最終更新日,日付/時間,false,true,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.LastActivationStatusErrorCode,LastActivationStatusErrorCode,MarketSegmentActivationChangeEvent,,LastActivationStatusErrorCode,有効化状況エラーコード,有効化状況エラーコード,選択リスト,false,true,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.LastModifiedBy,LastModifiedById,MarketSegmentActivationChangeEvent,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.LastModifiedDate,LastModifiedDate,MarketSegmentActivationChangeEvent,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,true,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.LastPublishedDate,LastPublishedDate,MarketSegmentActivationChangeEvent,,LastPublishedDate,最終公開日,最終公開日,日付/時間,false,true,false,false,false,false
000000000000000AAA,MarketSegmentActivationChangeEvent.LastPublishStatus,LastPublishStatus,MarketSegmentActivationChangeEvent,,LastPublishStatus,最終公開状況,最終公開状況,選択リスト,false,true,false,false,false,false
