Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,MgmtOrgProvisioningError.CreatedBy,CreatedById,MgmtOrgProvisioningError,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,MgmtOrgProvisioningError.CreatedDate,CreatedDate,MgmtOrgProvisioningError,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,MgmtOrgProvisioningError.ErrorText,ErrorText,MgmtOrgProvisioningError,,ErrorText,Provisioning Error Code,Provisioning Error Code,テキスト(40),false,true,false,true,true,true
000000000000000AAA,MgmtOrgProvisioningError.ErrorTextInternal,ErrorTextInternal,MgmtOrgProvisioningError,,ErrorTextInternal,Internal Error Text,Internal Error Text,ロングテキストエリア(32000),false,true,false,false,false,false
000000000000000AAA,MgmtOrgProvisioningError.Id,Id,MgmtOrgProvisioningError,,Id,Provisioning Error ID,Provisioning Error ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,MgmtOrgProvisioningError.IsDeleted,IsDeleted,MgmtOrgProvisioningError,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,MgmtOrgProvisioningError.LastModifiedBy,LastModifiedById,MgmtOrgProvisioningError,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,MgmtOrgProvisioningError.LastModifiedDate,LastModifiedDate,MgmtOrgProvisioningError,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,MgmtOrgProvisioningError.LogLevel,LogLevel,MgmtOrgProvisioningError,,LogLevel,Log Level,Log Level,選択リスト,false,true,false,true,true,true
000000000000000AAA,MgmtOrgProvisioningError.Name,Name,MgmtOrgProvisioningError,,Name,Provisioning Error Name,Provisioning Error Name,自動採番,false,false,true,true,false,true
000000000000000AAA,MgmtOrgProvisioningError.ProvisioningAttempt,ProvisioningAttemptId,MgmtOrgProvisioningError,,ProvisioningAttempt,Provisioning Attempt,Provisioning Attempt,主従関係(Provisioning Attempt),false,false,true,true,true,true
000000000000000AAA,MgmtOrgProvisioningError.RecordVisibility,RecordVisibilityId,MgmtOrgProvisioningError,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,MgmtOrgProvisioningError.SystemModstamp,SystemModstamp,MgmtOrgProvisioningError,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,MgmtOrgProvisioningError.UserRecordAccess,UserRecordAccessId,MgmtOrgProvisioningError,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
