Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,MktCalculatedInsightObject.CreatedBy,CreatedById,MktCalculatedInsightObject,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,MktCalculatedInsightObject.CreatedDate,CreatedDate,MktCalculatedInsightObject,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,MktCalculatedInsightObject.DefinitionType,DefinitionType,MktCalculatedInsightObject,,DefinitionType,定義種別,定義種別,選択リスト,false,false,false,true,true,true
000000000000000AAA,MktCalculatedInsightObject.DeveloperName,DeveloperName,MktCalculatedInsightObject,,DeveloperName,名前,名前,テキスト(40),false,false,true,true,true,true
000000000000000AAA,MktCalculatedInsightObject.ExternalSource,ExternalSource,MktCalculatedInsightObject,,ExternalSource,外部取得元,外部取得元,選択リスト,false,true,false,true,true,true
000000000000000AAA,MktCalculatedInsightObject.Id,Id,MktCalculatedInsightObject,,Id,計算済みインサイトオブジェクト ID,計算済みインサイトオブジェクト ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,MktCalculatedInsightObject.IsDeleted,IsDeleted,MktCalculatedInsightObject,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,MktCalculatedInsightObject.IsDraft,IsDraft,MktCalculatedInsightObject,,IsDraft,ドラフト,ドラフト,チェックボックス,false,false,false,true,true,true
000000000000000AAA,MktCalculatedInsightObject.IsEnabled,IsEnabled,MktCalculatedInsightObject,,IsEnabled,有効,有効,チェックボックス,false,false,false,true,true,true
000000000000000AAA,MktCalculatedInsightObject.Language,Language,MktCalculatedInsightObject,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,MktCalculatedInsightObject.LastModifiedBy,LastModifiedById,MktCalculatedInsightObject,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,MktCalculatedInsightObject.LastModifiedDate,LastModifiedDate,MktCalculatedInsightObject,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,MktCalculatedInsightObject.ManageableState,ManageableState,MktCalculatedInsightObject,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,MktCalculatedInsightObject.MasterLabel,MasterLabel,MktCalculatedInsightObject,,MasterLabel,表示ラベル,表示ラベル,テキスト(40),false,false,false,true,true,true
000000000000000AAA,MktCalculatedInsightObject.MktCalcInsightObjectDef,MktCalcInsightObjectDefId,MktCalculatedInsightObject,,MktCalcInsightObjectDef,計算済みインサイトオブジェクト定義,計算済みインサイトオブジェクト定義,参照関係(計算済みインサイトオブジェクト定義),false,true,true,true,true,true
000000000000000AAA,MktCalculatedInsightObject.NamespacePrefix,NamespacePrefix,MktCalculatedInsightObject,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,MktCalculatedInsightObject.SystemModstamp,SystemModstamp,MktCalculatedInsightObject,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
