Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,MktDataTransformHistory.CreatedBy,CreatedById,MktDataTransformHistory,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,MktDataTransformHistory.CreatedDate,CreatedDate,MktDataTransformHistory,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,MktDataTransformHistory.DataType,DataType,MktDataTransformHistory,,DataType,データ型,データ型,選択リスト,false,true,false,true,true,true
000000000000000AAA,MktDataTransformHistory.Field,Field,MktDataTransformHistory,,Field,変更された項目,変更された項目,"選択リスト(Custom Field Definitions,カスタム項目データ列)",false,false,true,true,true,true
000000000000000AAA,MktDataTransformHistory.Id,Id,MktDataTransformHistory,,Id,データ変換の履歴 ID,データ変換の履歴 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,MktDataTransformHistory.IsDeleted,IsDeleted,MktDataTransformHistory,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,MktDataTransformHistory.MktDataTransform,MktDataTransformId,MktDataTransformHistory,,MktDataTransform,データ変換,データ変換,参照関係(データ変換),false,false,true,true,true,true
000000000000000AAA,MktDataTransformHistory.NewvalDate,NewvalDate,MktDataTransformHistory,,NewvalDate,新規の日付,新規の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,MktDataTransformHistory.NewvalFirstName,NewvalFirstName,MktDataTransformHistory,,NewvalFirstName,新規の名,新規の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,MktDataTransformHistory.NewvalLastName,NewvalLastName,MktDataTransformHistory,,NewvalLastName,新規の姓,新規の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,MktDataTransformHistory.NewValue,NewValue,MktDataTransformHistory,,NewValue,新しい値,新しい値,参照関係,false,true,false,false,false,true
000000000000000AAA,MktDataTransformHistory.OldvalDate,OldvalDate,MktDataTransformHistory,,OldvalDate,元の日付,元の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,MktDataTransformHistory.OldvalFirstName,OldvalFirstName,MktDataTransformHistory,,OldvalFirstName,元の名,元の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,MktDataTransformHistory.OldvalLastName,OldvalLastName,MktDataTransformHistory,,OldvalLastName,元の姓,元の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,MktDataTransformHistory.OldValue,OldValue,MktDataTransformHistory,,OldValue,元の値,元の値,参照関係,false,true,false,false,false,true
