Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,NamedCredential.AuthProvider,AuthProviderId,NamedCredential,,AuthProvider,認証プロバイダー,認証プロバイダー,参照関係(認証プロバイダー),false,true,false,true,true,true
000000000000000AAA,NamedCredential.AuthTokenEndpointUrl,AuthTokenEndpointUrl,NamedCredential,,AuthTokenEndpointUrl,認証トークンエンドポイント URL,認証トークンエンドポイント URL,ロングテキストエリア(1000),false,true,false,false,false,false
000000000000000AAA,NamedCredential.AwsAccessKey,AwsAccessKey,NamedCredential,,AwsAccessKey,AWS アクセスキー ID,AWS アクセスキー ID,テキスト(255),false,true,false,true,true,true
000000000000000AAA,NamedCredential.AwsAccessSecret,AwsAccessSecret,NamedCredential,,AwsAccessSecret,AWS シークレットアクセスキー,AWS シークレットアクセスキー,ロングテキストエリア(6000),false,true,false,false,false,false
000000000000000AAA,NamedCredential.AwsRegion,AwsRegion,NamedCredential,,AwsRegion,AWS リージョン,AWS リージョン,テキスト(255),false,true,false,true,true,true
000000000000000AAA,NamedCredential.AwsService,AwsService,NamedCredential,,AwsService,AWS サービス,AWS サービス,テキスト(255),false,true,false,true,true,true
000000000000000AAA,NamedCredential.CalloutOptions,CalloutOptions,NamedCredential,,CalloutOptions,__MISSING LABEL__ PropertyFile - val CalloutOptions not found in section udd_NamedCredential,__MISSING LABEL__ PropertyFile - val CalloutOptions not found in section udd_NamedCredential,ビットベクター,false,false,false,true,false,false
000000000000000AAA,NamedCredential.CalloutStatus,CalloutStatus,NamedCredential,,CalloutStatus,コールアウト状況,コールアウト状況,選択リスト,false,true,false,true,true,true
000000000000000AAA,NamedCredential.Certificate,CertificateId,NamedCredential,,Certificate,証明書,証明書,参照関係(証明書と鍵),false,true,false,true,true,true
000000000000000AAA,NamedCredential.CreatedBy,CreatedById,NamedCredential,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,NamedCredential.CreatedDate,CreatedDate,NamedCredential,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,NamedCredential.Description,Description,NamedCredential,,Description,説明,説明,テキスト(255),false,true,false,true,true,true
000000000000000AAA,NamedCredential.DeveloperName,DeveloperName,NamedCredential,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,NamedCredential.Endpoint,Endpoint,NamedCredential,,Endpoint,URL,URL,ロングテキストエリア(1000),false,true,false,false,false,false
000000000000000AAA,NamedCredential.EndpointAndCredentialDigest,EndpointAndCredentialDigest,NamedCredential,,EndpointAndCredentialDigest,エンドポイントおよびログイン情報を一意に識別するダイジェスト,エンドポイントおよびログイン情報を一意に識別するダイジェスト,テキスト(255),false,true,false,true,true,true
000000000000000AAA,NamedCredential.FullName,FullName,NamedCredential,,FullName,氏名,氏名,テキスト(255),false,true,false,false,true,false
000000000000000AAA,NamedCredential.Handle,Handle,NamedCredential,,Handle,OAuth ハンドル,OAuth ハンドル,テキスト(375),false,true,false,true,false,true
000000000000000AAA,NamedCredential.Id,Id,NamedCredential,,Id,指定ログイン情報 ID,指定ログイン情報 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,NamedCredential.IsDeleted,IsDeleted,NamedCredential,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,NamedCredential.JwtAudience,JwtAudience,NamedCredential,,JwtAudience,JWT 利用者,JWT 利用者,ロングテキストエリア(1000),false,true,false,false,false,false
000000000000000AAA,NamedCredential.JwtFormulaSubject,JwtFormulaSubject,NamedCredential,,JwtFormulaSubject,JWT 数式件名,JWT 数式件名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,NamedCredential.JwtIssuer,JwtIssuer,NamedCredential,,JwtIssuer,JWT 発行者,JWT 発行者,テキスト(255),false,true,false,true,true,true
000000000000000AAA,NamedCredential.JwtSigningCertificate,JwtSigningCertificateId,NamedCredential,,JwtSigningCertificate,JWT 署名証明書,JWT 署名証明書,参照関係(証明書と鍵),false,true,false,true,true,true
000000000000000AAA,NamedCredential.JwtTextSubject,JwtTextSubject,NamedCredential,,JwtTextSubject,JWT テキスト件名,JWT テキスト件名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,NamedCredential.JwtValidityPeriodSeconds,JwtValidityPeriodSeconds,NamedCredential,,JwtValidityPeriodSeconds,JWT 有効期間 (秒),JWT 有効期間 (秒),数値(9、0),false,true,false,true,true,true
000000000000000AAA,NamedCredential.Language,Language,NamedCredential,,Language,マスター言語,マスター言語,選択リスト,false,true,false,true,true,true
000000000000000AAA,NamedCredential.LastModifiedBy,LastModifiedById,NamedCredential,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,NamedCredential.LastModifiedDate,LastModifiedDate,NamedCredential,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,NamedCredential.ManageableState,ManageableState,NamedCredential,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,NamedCredential.MasterLabel,MasterLabel,NamedCredential,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,NamedCredential.Metadata,Metadata,NamedCredential,,Metadata,メタデータ,メタデータ,複合値,false,true,false,false,false,false
000000000000000AAA,NamedCredential.NamedCredentialType,NamedCredentialType,NamedCredential,,NamedCredentialType,指定ログイン情報種別,指定ログイン情報種別,選択リスト,false,true,false,true,true,true
000000000000000AAA,NamedCredential.NamespacePrefix,NamespacePrefix,NamedCredential,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,NamedCredential.OauthRefreshToken,OauthRefreshToken,NamedCredential,,OauthRefreshToken,OAuth 更新トークン,OAuth 更新トークン,ロングテキストエリア(40000),false,true,false,false,false,false
000000000000000AAA,NamedCredential.OauthScope,OauthScope,NamedCredential,,OauthScope,OAuth 範囲,OAuth 範囲,テキスト(1000),false,true,false,true,false,true
000000000000000AAA,NamedCredential.OauthToken,OauthToken,NamedCredential,,OauthToken,OAuth トークン,OAuth トークン,ロングテキストエリア(40000),false,true,false,false,false,false
000000000000000AAA,NamedCredential.OutboundNetworkConnection,OutboundNetworkConnectionId,NamedCredential,,OutboundNetworkConnection,発信ネットワーク接続,発信ネットワーク接続,参照関係(発信ネットワーク接続),false,true,false,true,true,true
000000000000000AAA,NamedCredential.Password,Password,NamedCredential,,Password,パスワード,パスワード,ロングテキストエリア(6000),false,true,false,false,false,false
000000000000000AAA,NamedCredential.PrincipalType,PrincipalType,NamedCredential,,PrincipalType,ID 種別,ID 種別,選択リスト,false,true,false,true,true,true
000000000000000AAA,NamedCredential.Protocol,Protocol,NamedCredential,,Protocol,認証プロトコル,認証プロトコル,選択リスト,false,true,false,true,true,true
000000000000000AAA,NamedCredential.RemoteIdentifier,RemoteIdentifier,NamedCredential,,RemoteIdentifier,OAuth リモート ID,OAuth リモート ID,テキスト(255),false,true,false,true,true,true
000000000000000AAA,NamedCredential.SystemModstamp,SystemModstamp,NamedCredential,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,NamedCredential.Username,Username,NamedCredential,,Username,ユーザー名,ユーザー名,テキスト(255),false,true,false,true,true,true
