Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,OauthCustomScope.CreatedBy,CreatedById,OauthCustomScope,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,OauthCustomScope.CreatedDate,CreatedDate,OauthCustomScope,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,OauthCustomScope.Description,Description,OauthCustomScope,,Description,説明,説明,テキスト(255),false,false,false,true,true,true
000000000000000AAA,OauthCustomScope.DeveloperName,DeveloperName,OauthCustomScope,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,OauthCustomScope.Id,Id,OauthCustomScope,,Id,Oauth カスタムスコープ ID,Oauth カスタムスコープ ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,OauthCustomScope.IsDeleted,IsDeleted,OauthCustomScope,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,OauthCustomScope.IsPublic,IsPublic,OauthCustomScope,,IsPublic,よく知られたエンドポイントに含める,よく知られたエンドポイントに含める,チェックボックス,false,false,false,true,true,true
000000000000000AAA,OauthCustomScope.Language,Language,OauthCustomScope,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,OauthCustomScope.LastModifiedBy,LastModifiedById,OauthCustomScope,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,OauthCustomScope.LastModifiedDate,LastModifiedDate,OauthCustomScope,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,OauthCustomScope.ManageableState,ManageableState,OauthCustomScope,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,OauthCustomScope.MasterLabel,MasterLabel,OauthCustomScope,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,OauthCustomScope.NamespacePrefix,NamespacePrefix,OauthCustomScope,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,OauthCustomScope.SystemModstamp,SystemModstamp,OauthCustomScope,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
