Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ObjectPermissions.CreatedBy,CreatedById,ObjectPermissions,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ObjectPermissions.CreatedDate,CreatedDate,ObjectPermissions,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ObjectPermissions.Id,Id,ObjectPermissions,,Id,オブジェクト権限 ID,オブジェクト権限 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ObjectPermissions.LastModifiedBy,LastModifiedById,ObjectPermissions,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ObjectPermissions.LastModifiedDate,LastModifiedDate,ObjectPermissions,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ObjectPermissions.ManageableState,ManageableState,ObjectPermissions,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,ObjectPermissions.Parent,ParentId,ObjectPermissions,,Parent,参照先エンティティ,参照先エンティティ,"参照関係(権限セット,ユーザーライセンス,Permission Set License,権限セットのミュート)",false,false,true,true,true,true
000000000000000AAA,ObjectPermissions.Permissions,Permissions,ObjectPermissions,,Permissions,,,ビットベクター,false,false,false,true,false,false
000000000000000AAA,ObjectPermissions.SobjectType,SobjectType,ObjectPermissions,,SobjectType,エンティティ名,エンティティ名,選択リスト(カスタムオブジェクトの定義),false,false,false,true,true,true
000000000000000AAA,ObjectPermissions.SystemModstamp,SystemModstamp,ObjectPermissions,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
