Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,OperatingHoursHolidayHistory.CreatedBy,CreatedById,OperatingHoursHolidayHistory,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,OperatingHoursHolidayHistory.CreatedDate,CreatedDate,OperatingHoursHolidayHistory,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,OperatingHoursHolidayHistory.DataType,DataType,OperatingHoursHolidayHistory,,DataType,データ型,データ型,選択リスト,false,true,false,true,true,true
000000000000000AAA,OperatingHoursHolidayHistory.Field,Field,OperatingHoursHolidayHistory,,Field,変更された項目,変更された項目,"選択リスト(カスタム項目の定義,カスタム項目データ列)",false,false,true,true,true,true
000000000000000AAA,OperatingHoursHolidayHistory.Id,Id,OperatingHoursHolidayHistory,,Id,業務時間休日履歴 ID,業務時間休日履歴 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,OperatingHoursHolidayHistory.IsDeleted,IsDeleted,OperatingHoursHolidayHistory,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,OperatingHoursHolidayHistory.NewvalDate,NewvalDate,OperatingHoursHolidayHistory,,NewvalDate,新規の日付,新規の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,OperatingHoursHolidayHistory.NewvalFirstName,NewvalFirstName,OperatingHoursHolidayHistory,,NewvalFirstName,新規の名,新規の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,OperatingHoursHolidayHistory.NewvalLastName,NewvalLastName,OperatingHoursHolidayHistory,,NewvalLastName,新規の姓,新規の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,OperatingHoursHolidayHistory.NewValue,NewValue,OperatingHoursHolidayHistory,,NewValue,新しい値,新しい値,参照関係,false,true,false,false,false,true
000000000000000AAA,OperatingHoursHolidayHistory.OldvalDate,OldvalDate,OperatingHoursHolidayHistory,,OldvalDate,元の日付,元の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,OperatingHoursHolidayHistory.OldvalFirstName,OldvalFirstName,OperatingHoursHolidayHistory,,OldvalFirstName,元の名,元の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,OperatingHoursHolidayHistory.OldvalLastName,OldvalLastName,OperatingHoursHolidayHistory,,OldvalLastName,元の姓,元の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,OperatingHoursHolidayHistory.OldValue,OldValue,OperatingHoursHolidayHistory,,OldValue,元の値,元の値,参照関係,false,true,false,false,false,true
000000000000000AAA,OperatingHoursHolidayHistory.OperatingHoursHoliday,OperatingHoursHolidayId,OperatingHoursHolidayHistory,,OperatingHoursHoliday,業務時間休日,業務時間休日,参照関係(業務時間休日),false,false,true,true,true,true
