Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,OpportunityFeed.BestComment,BestCommentId,OpportunityFeed,,BestComment,最良のコメント,最良のコメント,参照関係(フィードコメント),false,true,false,true,true,true
000000000000000AAA,OpportunityFeed.Body,Body,OpportunityFeed,,Body,内容,内容,ロングテキストエリア(10000),false,true,false,false,false,true
000000000000000AAA,OpportunityFeed.CommentCount,CommentCount,OpportunityFeed,,CommentCount,コメント数,コメント数,数値(9、0),false,false,false,true,true,true
000000000000000AAA,OpportunityFeed.CreatedBy,CreatedById,OpportunityFeed,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,OpportunityFeed.CreatedDate,CreatedDate,OpportunityFeed,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,OpportunityFeed.Id,Id,OpportunityFeed,,Id,フィード項目 ID,フィード項目 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,OpportunityFeed.InsertedBy,InsertedById,OpportunityFeed,,InsertedBy,挿入者,挿入者,参照関係(ユーザー),false,true,false,false,true,true
000000000000000AAA,OpportunityFeed.IsDeleted,IsDeleted,OpportunityFeed,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,OpportunityFeed.IsRichText,IsRichText,OpportunityFeed,,IsRichText,リッチテキスト,リッチテキスト,チェックボックス,false,false,false,true,true,true
000000000000000AAA,OpportunityFeed.LastModifiedDate,LastModifiedDate,OpportunityFeed,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,OpportunityFeed.LikeCount,LikeCount,OpportunityFeed,,LikeCount,いいね! の数,いいね! の数,数値(9、0),false,false,false,true,true,true
000000000000000AAA,OpportunityFeed.LinkUrl,LinkUrl,OpportunityFeed,,LinkUrl,リンク URL,リンク URL,URL(1000),false,true,false,false,false,true
000000000000000AAA,OpportunityFeed.Parent,ParentId,OpportunityFeed,,Parent,親,親,参照関係(商談),false,false,true,true,true,true
000000000000000AAA,OpportunityFeed.RelatedRecord,RelatedRecordId,OpportunityFeed,,RelatedRecord,関連レコード,関連レコード,"参照関係(コンテンツバージョン,キャンバスフィード項目)",false,true,false,false,true,true
000000000000000AAA,OpportunityFeed.SystemModstamp,SystemModstamp,OpportunityFeed,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,OpportunityFeed.Title,Title,OpportunityFeed,,Title,タイトル,タイトル,テキスト(255),false,true,false,false,true,true
000000000000000AAA,OpportunityFeed.Type,Type,OpportunityFeed,,Type,フィード項目種別,フィード項目種別,選択リスト,false,true,false,true,true,true
