Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,OpportunityLineItemChangeEvent.ChangeEventHeader,ChangeEventHeader,OpportunityLineItemChangeEvent,,ChangeEventHeader,変更イベントヘッダー,変更イベントヘッダー,複合値,false,false,false,false,false,false
000000000000000AAA,OpportunityLineItemChangeEvent.CreatedBy,CreatedById,OpportunityLineItemChangeEvent,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,OpportunityLineItemChangeEvent.CreatedDate,CreatedDate,OpportunityLineItemChangeEvent,,CreatedDate,作成日,作成日,日付/時間,false,true,false,false,false,false
000000000000000AAA,OpportunityLineItemChangeEvent.Description,Description,OpportunityLineItemChangeEvent,,Description,明細説明,明細説明,テキスト(255),false,true,false,false,false,false
000000000000000AAA,OpportunityLineItemChangeEvent.Discount,Discount,OpportunityLineItemChangeEvent,,Discount,割引,割引,パーセント(3、2),false,true,false,false,false,false
000000000000000AAA,OpportunityLineItemChangeEvent.LastModifiedBy,LastModifiedById,OpportunityLineItemChangeEvent,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,OpportunityLineItemChangeEvent.LastModifiedDate,LastModifiedDate,OpportunityLineItemChangeEvent,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,true,false,false,false,false
000000000000000AAA,OpportunityLineItemChangeEvent.ListPrice,ListPrice,OpportunityLineItemChangeEvent,,ListPrice,リスト価格,リスト価格,通貨(16、2),false,true,false,false,false,false
000000000000000AAA,OpportunityLineItemChangeEvent.Name,Name,OpportunityLineItemChangeEvent,,Name,商談商品名,商談商品名,テキスト(376),false,true,false,false,false,false
000000000000000AAA,OpportunityLineItemChangeEvent.Opportunity,OpportunityId,OpportunityLineItemChangeEvent,,Opportunity,商談,商談,参照関係(商談),false,true,false,false,false,false
000000000000000AAA,OpportunityLineItemChangeEvent.PricebookEntry,PricebookEntryId,OpportunityLineItemChangeEvent,,PricebookEntry,価格表エントリ,価格表エントリ,参照関係(価格表エントリ),false,true,false,false,false,false
000000000000000AAA,OpportunityLineItemChangeEvent.Product2,Product2Id,OpportunityLineItemChangeEvent,,Product2,商品,商品,参照関係(商品),false,true,false,false,false,false
000000000000000AAA,OpportunityLineItemChangeEvent.ProductCode,ProductCode,OpportunityLineItemChangeEvent,,ProductCode,商品コード,商品コード,テキスト(255),false,true,false,false,false,false
000000000000000AAA,OpportunityLineItemChangeEvent.Quantity,Quantity,OpportunityLineItemChangeEvent,,Quantity,数量,数量,数値(10、2),false,true,false,false,false,false
000000000000000AAA,OpportunityLineItemChangeEvent.ServiceDate,ServiceDate,OpportunityLineItemChangeEvent,,ServiceDate,提供日,提供日,日付,false,true,false,false,false,false
000000000000000AAA,OpportunityLineItemChangeEvent.SortOrder,SortOrder,OpportunityLineItemChangeEvent,,SortOrder,並び替え順,並び替え順,数値(9、0),false,true,false,false,false,false
000000000000000AAA,OpportunityLineItemChangeEvent.Subtotal,Subtotal,OpportunityLineItemChangeEvent,,Subtotal,小計,小計,通貨(16、2),false,true,false,false,false,false
000000000000000AAA,OpportunityLineItemChangeEvent.TotalPrice,TotalPrice,OpportunityLineItemChangeEvent,,TotalPrice,合計金額,合計金額,通貨(16、2),false,true,false,false,false,false
000000000000000AAA,OpportunityLineItemChangeEvent.UnitPrice,UnitPrice,OpportunityLineItemChangeEvent,,UnitPrice,販売価格,販売価格,通貨(16、2),false,true,false,false,false,false
