Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,Order.Account,AccountId,Order,,Account,取引先名,取引先名,参照関係(取引先),false,true,true,true,true,true
000000000000000AAA,Order.AccountNumber,AccountNumber,Order,,AccountNumber,取引先番号,取引先番号,テキスト(40),false,true,false,true,true,true
000000000000000AAA,Order.ActivatedBy,ActivatedById,Order,,ActivatedBy,有効化設定者,有効化設定者,参照関係(ユーザー),false,true,false,true,true,true
000000000000000AAA,Order.ActivatedDate,ActivatedDate,Order,,ActivatedDate,有効化日,有効化日,日付/時間,false,true,true,true,false,true
000000000000000AAA,Order.BillingAddress,BillingAddress,Order,,BillingAddress,住所(請求先),住所(請求先),住所,false,true,false,true,false,false
000000000000000AAA,Order.BillToContact,BillToContactId,Order,,BillToContact,請求先 取引先責任者,請求先 取引先責任者,参照関係(取引先責任者),false,true,true,true,true,true
000000000000000AAA,Order.CompanyAuthorizedBy,CompanyAuthorizedById,Order,,CompanyAuthorizedBy,自社 承認者,自社 承認者,参照関係(ユーザー),false,true,false,true,true,true
000000000000000AAA,Order.CompanyAuthorizedDate,CompanyAuthorizedDate,Order,,CompanyAuthorizedDate,自社 承認日,自社 承認日,日付,false,true,false,true,true,true
000000000000000AAA,Order.Contract,ContractId,Order,,Contract,契約番号,契約番号,参照関係(契約),false,true,true,true,true,true
000000000000000AAA,Order.ContractEndDate,ContractEndDate,Order,,ContractEndDate,契約終了日,契約終了日,日付,false,true,false,true,true,true
000000000000000AAA,Order.ContractName,ContractName,Order,,ContractName,契約名,契約名,テキスト(80),false,true,false,true,true,true
000000000000000AAA,Order.CreatedBy,CreatedById,Order,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,Order.CreatedDate,CreatedDate,Order,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,Order.CustomerAuthorizedBy,CustomerAuthorizedById,Order,,CustomerAuthorizedBy,顧客 承認者,顧客 承認者,参照関係(取引先責任者),false,true,true,true,true,true
000000000000000AAA,Order.CustomerAuthorizedDate,CustomerAuthorizedDate,Order,,CustomerAuthorizedDate,顧客 承認日,顧客 承認日,日付,false,true,false,true,true,true
000000000000000AAA,Order.Description,Description,Order,,Description,説明,説明,ロングテキストエリア(32000),false,true,false,false,false,false
000000000000000AAA,Order.EffectiveDate,EffectiveDate,Order,,EffectiveDate,注文開始日,注文開始日,日付,false,false,true,true,true,true
000000000000000AAA,Order.EndDate,EndDate,Order,,EndDate,注文終了日,注文終了日,日付,false,true,false,true,true,true
000000000000000AAA,Order.Id,Id,Order,,Id,注文 ID,注文 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,Order.IsDeleted,IsDeleted,Order,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,Order.IsReductionOrder,IsReductionOrder,Order,,IsReductionOrder,削減注文,削減注文,チェックボックス,false,false,false,true,true,true
000000000000000AAA,Order.LastModifiedBy,LastModifiedById,Order,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,Order.LastModifiedDate,LastModifiedDate,Order,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,Order.LastReferencedDate,LastReferencedDate,Order,,LastReferencedDate,最終参照日,最終参照日,日付/時間,false,true,false,true,false,true
000000000000000AAA,Order.LastViewedDate,LastViewedDate,Order,,LastViewedDate,最終閲覧日,最終閲覧日,日付/時間,false,true,false,true,false,true
000000000000000AAA,Order.Name,Name,Order,,Name,注文名,注文名,テキスト(80),false,true,true,true,true,true
000000000000000AAA,Order.Opportunity,OpportunityId,Order,,Opportunity,商談,商談,参照関係(商談),false,true,true,true,true,true
000000000000000AAA,Order.OrderNumber,OrderNumber,Order,,OrderNumber,注文番号,注文番号,自動採番,false,false,true,true,false,true
000000000000000AAA,Order.OrderReferenceNumber,OrderReferenceNumber,Order,,OrderReferenceNumber,注文参照番号,注文参照番号,テキスト(80),false,true,true,true,true,true
000000000000000AAA,Order.OriginalOrder,OriginalOrderId,Order,,OriginalOrder,元の注文,元の注文,参照関係(注文),false,true,true,true,true,true
000000000000000AAA,Order.Owner,OwnerId,Order,,Owner,注文所有者,注文所有者,"参照関係(ユーザー,グループ)",false,false,true,true,true,true
000000000000000AAA,Order.PoDate,PoDate,Order,,PoDate,PO 日付,PO 日付,日付,false,true,false,true,true,true
000000000000000AAA,Order.PoNumber,PoNumber,Order,,PoNumber,PO 番号,PO 番号,テキスト(80),false,true,false,true,true,true
000000000000000AAA,Order.Pricebook2,Pricebook2Id,Order,,Pricebook2,価格表,価格表,参照関係(価格表),false,true,true,true,true,true
000000000000000AAA,Order.RecordVisibility,RecordVisibilityId,Order,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,Order.ShippingAddress,ShippingAddress,Order,,ShippingAddress,住所(納入先),住所(納入先),住所,false,true,false,true,false,false
