Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,OrderItemChangeEvent.AvailableQuantity,AvailableQuantity,OrderItemChangeEvent,,AvailableQuantity,利用可能な数量,利用可能な数量,数値(16、2),false,true,false,false,false,false
000000000000000AAA,OrderItemChangeEvent.ChangeEventHeader,ChangeEventHeader,OrderItemChangeEvent,,ChangeEventHeader,変更イベントヘッダー,変更イベントヘッダー,複合値,false,false,false,false,false,false
000000000000000AAA,OrderItemChangeEvent.CreatedBy,CreatedById,OrderItemChangeEvent,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,OrderItemChangeEvent.CreatedDate,CreatedDate,OrderItemChangeEvent,,CreatedDate,作成日,作成日,日付/時間,false,true,false,false,false,false
000000000000000AAA,OrderItemChangeEvent.Description,Description,OrderItemChangeEvent,,Description,明細説明,明細説明,テキスト(255),false,true,false,false,false,false
000000000000000AAA,OrderItemChangeEvent.EndDate,EndDate,OrderItemChangeEvent,,EndDate,終了日,終了日,日付,false,true,false,false,false,false
000000000000000AAA,OrderItemChangeEvent.LastModifiedBy,LastModifiedById,OrderItemChangeEvent,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,OrderItemChangeEvent.LastModifiedDate,LastModifiedDate,OrderItemChangeEvent,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,true,false,false,false,false
000000000000000AAA,OrderItemChangeEvent.ListPrice,ListPrice,OrderItemChangeEvent,,ListPrice,リスト価格,リスト価格,通貨(16、2),false,true,false,false,false,false
000000000000000AAA,OrderItemChangeEvent.Order,OrderId,OrderItemChangeEvent,,Order,注文,注文,参照関係(注文),false,true,false,false,false,false
000000000000000AAA,OrderItemChangeEvent.OrderItemNumber,OrderItemNumber,OrderItemChangeEvent,,OrderItemNumber,注文商品番号,注文商品番号,自動採番,false,false,false,false,false,false
000000000000000AAA,OrderItemChangeEvent.OriginalOrderItem,OriginalOrderItemId,OrderItemChangeEvent,,OriginalOrderItem,元の注文商品,元の注文商品,参照関係(注文商品),false,true,false,false,false,false
000000000000000AAA,OrderItemChangeEvent.PricebookEntry,PricebookEntryId,OrderItemChangeEvent,,PricebookEntry,価格表エントリ,価格表エントリ,参照関係(価格表エントリ),false,true,false,false,false,false
000000000000000AAA,OrderItemChangeEvent.Product2,Product2Id,OrderItemChangeEvent,,Product2,商品,商品,参照関係(商品),false,true,false,false,false,false
000000000000000AAA,OrderItemChangeEvent.Quantity,Quantity,OrderItemChangeEvent,,Quantity,数量,数量,数値(16、2),false,true,false,false,false,false
000000000000000AAA,OrderItemChangeEvent.ReferencePrice,ReferencePrice,OrderItemChangeEvent,,ReferencePrice,参照価格,参照価格,通貨(16、2),false,true,false,false,false,false
000000000000000AAA,OrderItemChangeEvent.ServiceDate,ServiceDate,OrderItemChangeEvent,,ServiceDate,開始日,開始日,日付,false,true,false,false,false,false
000000000000000AAA,OrderItemChangeEvent.UnitPrice,UnitPrice,OrderItemChangeEvent,,UnitPrice,単価,単価,通貨(16、2),false,true,false,false,false,false
