Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,OwnedContentDocument.ContentDocument,ContentDocumentId,OwnedContentDocument,,ContentDocument,ドキュメント,ドキュメント,参照関係(コンテンツドキュメント),false,true,true,true,true,true
000000000000000AAA,OwnedContentDocument.ContentSize,ContentSize,OwnedContentDocument,,ContentSize,コンテンツサイズ,コンテンツサイズ,数値(9、0),false,true,false,true,true,true
000000000000000AAA,OwnedContentDocument.ContentSizeLong,ContentSizeLong,OwnedContentDocument,,ContentSizeLong,コンテンツサイズ,コンテンツサイズ,数値(18、0),false,true,false,true,true,true
000000000000000AAA,OwnedContentDocument.ContentUrl,ContentUrl,OwnedContentDocument,,ContentUrl,コンテンツ URL,コンテンツ URL,URL(255),false,true,false,true,true,true
000000000000000AAA,OwnedContentDocument.CreatedBy,CreatedById,OwnedContentDocument,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,OwnedContentDocument.CreatedDate,CreatedDate,OwnedContentDocument,,CreatedDate,作成,作成,日付/時間,false,false,false,true,false,true
000000000000000AAA,OwnedContentDocument.ExternalDataSourceName,ExternalDataSourceName,OwnedContentDocument,,ExternalDataSourceName,外部データソース,外部データソース,テキスト(80),false,true,false,true,true,true
000000000000000AAA,OwnedContentDocument.ExternalDataSourceType,ExternalDataSourceType,OwnedContentDocument,,ExternalDataSourceType,Apex クラス,Apex クラス,選択リスト(Apex クラス),false,true,false,true,true,true
000000000000000AAA,OwnedContentDocument.FileExtension,FileExtension,OwnedContentDocument,,FileExtension,ファイル拡張子,ファイル拡張子,テキスト(40),false,true,false,true,true,true
000000000000000AAA,OwnedContentDocument.FileType,FileType,OwnedContentDocument,,FileType,ファイルの種類,ファイルの種類,テキスト(20),false,true,false,true,true,true
000000000000000AAA,OwnedContentDocument.Id,Id,OwnedContentDocument,,Id,ユーザー所有のコンテンツドキュメント ID,ユーザー所有のコンテンツドキュメント ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,OwnedContentDocument.IsDeleted,IsDeleted,OwnedContentDocument,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,OwnedContentDocument.LastModifiedBy,LastModifiedById,OwnedContentDocument,,LastModifiedBy,コンテンツ更新者,コンテンツ更新者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,OwnedContentDocument.LastModifiedDate,LastModifiedDate,OwnedContentDocument,,LastModifiedDate,コンテンツ更新日,コンテンツ更新日,日付/時間,false,false,true,true,false,true
000000000000000AAA,OwnedContentDocument.Owner,OwnerId,OwnedContentDocument,,Owner,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,OwnedContentDocument.Title,Title,OwnedContentDocument,,Title,タイトル,タイトル,テキスト(255),false,false,false,true,true,true
