Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,PackageOperationError.CreatedBy,CreatedById,PackageOperationError,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,PackageOperationError.CreatedByOrganization,CreatedByOrganizationId,PackageOperationError,,CreatedByOrganization,作成組織,作成組織,参照関係(組織),false,false,true,true,true,true
000000000000000AAA,PackageOperationError.CreatedDate,CreatedDate,PackageOperationError,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,PackageOperationError.ErrorComponent,ErrorComponentId,PackageOperationError,,ErrorComponent,エラーコンポーネント,エラーコンポーネント,"参照関係(Apex クラス,Apex トリガー)",false,true,false,true,true,true
000000000000000AAA,PackageOperationError.ErrorContext,ErrorContextId,PackageOperationError,,ErrorContext,エラーコンテキスト,エラーコンテキスト,参照関係(パッケージバージョン),false,false,true,true,true,true
000000000000000AAA,PackageOperationError.ErrorDetails,ErrorDetails,PackageOperationError,,ErrorDetails,エラーの詳細,エラーの詳細,テキスト(4000),false,true,false,true,false,true
000000000000000AAA,PackageOperationError.ErrorMessage,ErrorMessage,PackageOperationError,,ErrorMessage,エラーメッセージ,エラーメッセージ,テキスト(4000),false,true,false,true,false,true
000000000000000AAA,PackageOperationError.ErrorSeverity,ErrorSeverity,PackageOperationError,,ErrorSeverity,エラーの重大度,エラーの重大度,選択リスト,false,false,false,true,true,true
000000000000000AAA,PackageOperationError.ErrorStack,ErrorStack,PackageOperationError,,ErrorStack,エラースタック,エラースタック,テキスト(4000),false,true,false,true,false,true
000000000000000AAA,PackageOperationError.ErrorTitle,ErrorTitle,PackageOperationError,,ErrorTitle,エラーのタイトル,エラーのタイトル,テキスト(765),false,true,false,true,false,true
000000000000000AAA,PackageOperationError.ErrorType,ErrorType,PackageOperationError,,ErrorType,エラーの種類,エラーの種類,選択リスト,false,false,false,true,true,true
000000000000000AAA,PackageOperationError.Id,Id,PackageOperationError,,Id,パッケージ操作エラー ID,パッケージ操作エラー ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,PackageOperationError.LinkedError,LinkedErrorId,PackageOperationError,,LinkedError,リンクエラー,リンクエラー,参照関係(アプリケーションテスト結果),false,true,true,true,true,true
000000000000000AAA,PackageOperationError.LinkedErrorKeyPrefix,LinkedErrorKeyPrefix,PackageOperationError,,LinkedErrorKeyPrefix,リンクエラーのキープレフィックス,リンクエラーのキープレフィックス,テキスト(3),false,true,false,true,true,true
000000000000000AAA,PackageOperationError.Operation,Operation,PackageOperationError,,Operation,演算子,演算子,選択リスト,false,false,false,true,true,true
000000000000000AAA,PackageOperationError.SequenceNumber,SequenceNumber,PackageOperationError,,SequenceNumber,連番,連番,自動採番,false,false,false,true,false,true
000000000000000AAA,PackageOperationError.SystemModstamp,SystemModstamp,PackageOperationError,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
