Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,PackageUploadRequest.CreatedBy,CreatedById,PackageUploadRequest,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,PackageUploadRequest.CreatedDate,CreatedDate,PackageUploadRequest,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,PackageUploadRequest.Description,Description,PackageUploadRequest,,Description,説明,説明,ロングテキストエリア(1000),false,true,false,false,false,false
000000000000000AAA,PackageUploadRequest.Errors,Errors,PackageUploadRequest,,Errors,エラー,エラー,複合値,false,true,false,false,false,false
000000000000000AAA,PackageUploadRequest.Id,Id,PackageUploadRequest,,Id,メタデータパッケージアップロード要求 ID,メタデータパッケージアップロード要求 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,PackageUploadRequest.IsDeleted,IsDeleted,PackageUploadRequest,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,PackageUploadRequest.IsReleaseVersion,IsReleaseVersion,PackageUploadRequest,,IsReleaseVersion,リリースバージョン,リリースバージョン,チェックボックス,false,false,false,true,true,true
000000000000000AAA,PackageUploadRequest.LastModifiedBy,LastModifiedById,PackageUploadRequest,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,PackageUploadRequest.LastModifiedDate,LastModifiedDate,PackageUploadRequest,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,PackageUploadRequest.MajorVersion,MajorVersion,PackageUploadRequest,,MajorVersion,メジャーバージョン,メジャーバージョン,数値(9、0),false,true,false,true,true,true
000000000000000AAA,PackageUploadRequest.MetadataPackage,MetadataPackageId,PackageUploadRequest,,MetadataPackage,メタデータパッケージ,メタデータパッケージ,参照関係(メタデータパッケージ),false,false,true,true,true,true
000000000000000AAA,PackageUploadRequest.MetadataPackageVersion,MetadataPackageVersionId,PackageUploadRequest,,MetadataPackageVersion,メタデータパッケージバージョン,メタデータパッケージバージョン,参照関係(メタデータパッケージバージョン),false,true,false,true,true,true
000000000000000AAA,PackageUploadRequest.MinorVersion,MinorVersion,PackageUploadRequest,,MinorVersion,マイナーバージョン,マイナーバージョン,数値(9、0),false,true,false,true,true,true
000000000000000AAA,PackageUploadRequest.Password,Password,PackageUploadRequest,,Password,パスワード,パスワード,テキスト(100),false,true,false,true,true,true
000000000000000AAA,PackageUploadRequest.PostInstallUrl,PostInstallUrl,PackageUploadRequest,,PostInstallUrl,インストール後 URL,インストール後 URL,ロングテキストエリア(1000),false,true,false,false,false,false
000000000000000AAA,PackageUploadRequest.ReleaseNotesUrl,ReleaseNotesUrl,PackageUploadRequest,,ReleaseNotesUrl,リリースノートの URL,リリースノートの URL,ロングテキストエリア(1000),false,true,false,false,false,false
000000000000000AAA,PackageUploadRequest.Sequence,Sequence,PackageUploadRequest,,Sequence,順序,順序,自動採番  (ユニーク、大文字と小文字を区別する),false,false,true,true,false,true
000000000000000AAA,PackageUploadRequest.Status,Status,PackageUploadRequest,,Status,状況,状況,選択リスト,false,true,false,true,true,true
000000000000000AAA,PackageUploadRequest.SystemModstamp,SystemModstamp,PackageUploadRequest,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,PackageUploadRequest.VersionName,VersionName,PackageUploadRequest,,VersionName,バージョン名,バージョン名,テキスト(85),false,false,false,true,true,true
