Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,Participant.CreatedBy,CreatedById,Participant,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,Participant.CreatedDate,CreatedDate,Participant,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,Participant.Id,Id,Participant,,Id,関係者 ID,関係者 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,Participant.IsDeleted,IsDeleted,Participant,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,Participant.LastModifiedBy,LastModifiedById,Participant,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,Participant.LastModifiedDate,LastModifiedDate,Participant,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,Participant.ParticipantAppType,ParticipantAppType,Participant,,ParticipantAppType,アプリケーション種別,アプリケーション種別,テキスト(255),false,false,true,true,true,true
000000000000000AAA,Participant.ParticipantRole,ParticipantRole,Participant,,ParticipantRole,ロール,ロール,テキスト(36),false,true,false,true,true,true
000000000000000AAA,Participant.ParticipantSubject,ParticipantSubject,Participant,,ParticipantSubject,対象ユーザー,対象ユーザー,テキスト(255),false,true,false,true,true,true
000000000000000AAA,Participant.SystemModstamp,SystemModstamp,Participant,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
