Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,PartnerRole.ApiName,ApiName,PartnerRole,,ApiName,API 参照名,API 参照名,テキスト(255),false,false,false,true,true,true
000000000000000AAA,PartnerRole.CreatedBy,CreatedById,PartnerRole,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,PartnerRole.CreatedDate,CreatedDate,PartnerRole,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,PartnerRole.Id,Id,PartnerRole,,Id,パートナー役割値 ID,パートナー役割値 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,PartnerRole.LastModifiedBy,LastModifiedById,PartnerRole,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,PartnerRole.LastModifiedDate,LastModifiedDate,PartnerRole,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,PartnerRole.MasterLabel,MasterLabel,PartnerRole,,MasterLabel,マスター表示ラベル,マスター表示ラベル,テキスト(255),false,true,false,true,true,true
000000000000000AAA,PartnerRole.ReverseRole,ReverseRole,PartnerRole,,ReverseRole,先方から見た役割,先方から見た役割,選択リスト,false,true,false,true,true,true
000000000000000AAA,PartnerRole.SortOrder,SortOrder,PartnerRole,,SortOrder,並び替え順,並び替え順,数値(9、0),false,true,false,true,true,true
000000000000000AAA,PartnerRole.SystemModstamp,SystemModstamp,PartnerRole,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
