Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,PartyConsentFeed.BestComment,BestCommentId,PartyConsentFeed,,BestComment,最良のコメント,最良のコメント,参照関係(フィードコメント),false,true,false,true,true,true
000000000000000AAA,PartyConsentFeed.Body,Body,PartyConsentFeed,,Body,内容,内容,ロングテキストエリア(10000),false,true,false,false,false,true
000000000000000AAA,PartyConsentFeed.CommentCount,CommentCount,PartyConsentFeed,,CommentCount,コメント数,コメント数,数値(9、0),false,false,false,true,true,true
000000000000000AAA,PartyConsentFeed.CreatedBy,CreatedById,PartyConsentFeed,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,PartyConsentFeed.CreatedDate,CreatedDate,PartyConsentFeed,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,PartyConsentFeed.Id,Id,PartyConsentFeed,,Id,フィード項目 ID,フィード項目 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,PartyConsentFeed.InsertedBy,InsertedById,PartyConsentFeed,,InsertedBy,挿入者,挿入者,参照関係(ユーザー),false,true,false,false,true,true
000000000000000AAA,PartyConsentFeed.IsDeleted,IsDeleted,PartyConsentFeed,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,PartyConsentFeed.IsRichText,IsRichText,PartyConsentFeed,,IsRichText,リッチテキスト,リッチテキスト,チェックボックス,false,false,false,true,true,true
000000000000000AAA,PartyConsentFeed.LastModifiedDate,LastModifiedDate,PartyConsentFeed,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,PartyConsentFeed.LikeCount,LikeCount,PartyConsentFeed,,LikeCount,いいね! の数,いいね! の数,数値(9、0),false,false,false,true,true,true
000000000000000AAA,PartyConsentFeed.LinkUrl,LinkUrl,PartyConsentFeed,,LinkUrl,リンク URL,リンク URL,URL(1000),false,true,false,false,false,true
000000000000000AAA,PartyConsentFeed.Parent,ParentId,PartyConsentFeed,,Parent,親,親,参照関係(関係者の同意),false,false,true,true,true,true
000000000000000AAA,PartyConsentFeed.RelatedRecord,RelatedRecordId,PartyConsentFeed,,RelatedRecord,関連レコード,関連レコード,"参照関係(コンテンツバージョン,キャンバスフィード項目)",false,true,false,false,true,true
000000000000000AAA,PartyConsentFeed.SystemModstamp,SystemModstamp,PartyConsentFeed,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,PartyConsentFeed.Title,Title,PartyConsentFeed,,Title,タイトル,タイトル,テキスト(255),false,true,false,false,true,true
000000000000000AAA,PartyConsentFeed.Type,Type,PartyConsentFeed,,Type,フィード項目種別,フィード項目種別,選択リスト,false,true,false,true,true,true
