Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,PasswordPolicies.ApiOnlyUserHomePageUrl,ApiOnlyUserHomePageUrl,PasswordPolicies,,ApiOnlyUserHomePageUrl,__MISSING LABEL__ PropertyFile - val ApiOnlyUserHomePageUrl not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val ApiOnlyUserHomePageUrl not found in section udd_SettingsTemplate,テキスト(255),false,true,false,true,true,true
000000000000000AAA,PasswordPolicies.Complexity,Complexity,PasswordPolicies,,Complexity,__MISSING LABEL__ PropertyFile - val Complexity not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val Complexity not found in section udd_SettingsTemplate,テキスト(255),false,true,false,true,true,true
000000000000000AAA,PasswordPolicies.Expiration,Expiration,PasswordPolicies,,Expiration,__MISSING LABEL__ PropertyFile - val Expiration not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val Expiration not found in section udd_SettingsTemplate,テキスト(255),false,true,false,true,true,true
000000000000000AAA,PasswordPolicies.ExternalId,DurableId,PasswordPolicies,,ExternalId,設定テンプレート外部 ID,設定テンプレート外部 ID,外部参照,false,true,false,true,true,true
000000000000000AAA,PasswordPolicies.HistoryRestriction,HistoryRestriction,PasswordPolicies,,HistoryRestriction,__MISSING LABEL__ PropertyFile - val HistoryRestriction not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val HistoryRestriction not found in section udd_SettingsTemplate,テキスト(255),false,true,false,true,true,true
000000000000000AAA,PasswordPolicies.Id,Id,PasswordPolicies,,Id,設定テンプレート ID,設定テンプレート ID,参照関係(),false,false,false,true,true,true
000000000000000AAA,PasswordPolicies.LockoutInterval,LockoutInterval,PasswordPolicies,,LockoutInterval,__MISSING LABEL__ PropertyFile - val LockoutInterval not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val LockoutInterval not found in section udd_SettingsTemplate,テキスト(255),false,true,false,true,true,true
000000000000000AAA,PasswordPolicies.MaxLoginAttempts,MaxLoginAttempts,PasswordPolicies,,MaxLoginAttempts,__MISSING LABEL__ PropertyFile - val MaxLoginAttempts not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val MaxLoginAttempts not found in section udd_SettingsTemplate,テキスト(255),false,true,false,true,true,true
000000000000000AAA,PasswordPolicies.MinimumPasswordLength,MinimumPasswordLength,PasswordPolicies,,MinimumPasswordLength,__MISSING LABEL__ PropertyFile - val MinimumPasswordLength not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val MinimumPasswordLength not found in section udd_SettingsTemplate,テキスト(255),false,true,false,true,true,true
000000000000000AAA,PasswordPolicies.MinimumPasswordLifetime,MinimumPasswordLifetime,PasswordPolicies,,MinimumPasswordLifetime,__MISSING LABEL__ PropertyFile - val MinimumPasswordLifetime not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val MinimumPasswordLifetime not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,PasswordPolicies.ObscureSecretAnswer,ObscureSecretAnswer,PasswordPolicies,,ObscureSecretAnswer,__MISSING LABEL__ PropertyFile - val ObscureSecretAnswer not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val ObscureSecretAnswer not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,PasswordPolicies.PasswordAssistanceMessage,PasswordAssistanceMessage,PasswordPolicies,,PasswordAssistanceMessage,__MISSING LABEL__ PropertyFile - val PasswordAssistanceMessage not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val PasswordAssistanceMessage not found in section udd_SettingsTemplate,テキスト(255),false,true,false,true,true,true
000000000000000AAA,PasswordPolicies.PasswordAssistanceUrl,PasswordAssistanceUrl,PasswordPolicies,,PasswordAssistanceUrl,__MISSING LABEL__ PropertyFile - val PasswordAssistanceUrl not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val PasswordAssistanceUrl not found in section udd_SettingsTemplate,テキスト(255),false,true,false,true,true,true
000000000000000AAA,PasswordPolicies.QuestionRestriction,QuestionRestriction,PasswordPolicies,,QuestionRestriction,__MISSING LABEL__ PropertyFile - val QuestionRestriction not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val QuestionRestriction not found in section udd_SettingsTemplate,テキスト(255),false,true,false,true,true,true
